"Name","Team","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","SF","SH","GDP","SB","CS","GB","FB","LD","IFFB","IFH","BU","BUH","Balls","Strikes","Pitches","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","playerid"
"Orlando Palmeiro","Astros","36","6","1","6","1","1","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","6","3","5","10","15","16.7 %","33.3 %","50.0 %","66.7 %","33.3 %","0.0 %","28"
"Luis Gonzalez","Diamondbacks","37","1","1","1","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","2","1","3","0.0 %","0.0 %","100.0 %","0.0 %","100.0 %","0.0 %","55"
"Julio Franco","Braves","46","2","1","2","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","2","1","1","2","3","50.0 %","50.0 %","0.0 %","50.0 %","50.0 %","0.0 %","87"
"Ken Griffey Jr.","Reds","35","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","0.0 %","0.0 %","100.0 %","0.0 %","0.0 %","100.0 %","327"
"Russell Branyan","Brewers","29","2","1","2","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","2","1","1","3","4","0.0 %","50.0 %","50.0 %","50.0 %","0.0 %","50.0 %","370"
"Matt Lawton","Pirates","33","1","1","1","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","0.0 %","0.0 %","100.0 %","100.0 %","0.0 %","0.0 %","390"
"Mike Hampton","Braves","32","2","1","4","1","1","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","4","1","1","5","6","50.0 %","25.0 %","25.0 %","100.0 %","0.0 %","0.0 %","430"
"Damion Easley","Marlins","35","4","1","4","1","1","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","4","1","0","5","5","25.0 %","50.0 %","25.0 %","50.0 %","25.0 %","25.0 %","464"
"Brandon Inge","Tigers","28","7","1","7","1","1","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","7","1","3","9","12","0.0 %","42.9 %","57.1 %","57.1 %","42.9 %","0.0 %","470"
"Brian Moehler","Marlins","33","5","1","6","1","1","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","6","1","6","9","15","0.0 %","66.7 %","33.3 %","66.7 %","33.3 %","0.0 %","480"
"Ramon Castro","Mets","29","4","1","4","1","1","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","4","1","0","5","5","25.0 %","25.0 %","50.0 %","25.0 %","25.0 %","50.0 %","514"
"Ryan Dempster","Cubs","28","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","2","2","100.0 %","0.0 %","0.0 %","0.0 %","0.0 %","100.0 %","517"
"Cliff Floyd","Mets","32","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","2","0.0 %","0.0 %","100.0 %","0.0 %","0.0 %","100.0 %","518"
"Carlos Beltran","Mets","28","7","3","7","3","3","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","7","3","1","8","9","14.3 %","28.6 %","57.1 %","42.9 %","57.1 %","0.0 %","589"
"Joe Randa","Padres","35","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","2","3","0.0 %","0.0 %","100.0 %","0.0 %","100.0 %","0.0 %","623"
"Jeff Suppan","Cardinals","30","7","1","7","1","1","0","0","0","0","2","0","6","0","0","0","0","0","0","0","0","7","1","4","12","16","0.0 %","14.3 %","85.7 %","42.9 %","42.9 %","14.3 %","633"
"Marquis Grissom","Giants","38","3","1","3","1","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","3","1","2","4","6","0.0 %","0.0 %","100.0 %","66.7 %","33.3 %","0.0 %","652"
"Mark Grudzielanek","Cardinals","35","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","2","0.0 %","0.0 %","100.0 %","0.0 %","100.0 %","0.0 %","653"
"Paul Bako","Dodgers","33","1","1","1","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","2","2","4","0.0 %","0.0 %","100.0 %","100.0 %","0.0 %","0.0 %","676"
"A.J. Pierzynski","White Sox","28","3","2","3","2","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","3","2","0","3","3","0.0 %","33.3 %","66.7 %","33.3 %","66.7 %","0.0 %","746"
"Javier Valentin","Reds","29","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","2","0.0 %","0.0 %","100.0 %","100.0 %","0.0 %","0.0 %","759"
"Jermaine Dye","White Sox","31","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","100.0 %","0.0 %","0.0 %","100.0 %","0.0 %","0.0 %","911"
"Ramon Hernandez","Padres","29","3","2","3","2","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","3","2","0","3","3","66.7 %","0.0 %","33.3 %","33.3 %","33.3 %","33.3 %","918"
