"Name","Team","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","SF","SH","GDP","SB","CS","GB","FB","LD","IFFB","IFH","BU","BUH","Balls","Strikes","Pitches","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","playerid"
"Jerry Hairston","Nationals","35","2","1","2","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","2","1","0","2","2","50.0 %","0.0 %","50.0 %","0.0 %","100.0 %","0.0 %","144"
"Brian Roberts","Orioles","33","2","1","3","1","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","3","1","0","3","3","33.3 %","33.3 %","33.3 %","66.7 %","33.3 %","0.0 %","166"
"Johnny Damon","Rays","37","3","1","3","1","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","3","1","1","4","5","33.3 %","0.0 %","66.7 %","0.0 %","66.7 %","33.3 %","185"
"Carlos Zambrano","Cubs","30","3","1","3","1","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","3","1","1","5","6","33.3 %","33.3 %","33.3 %","0.0 %","66.7 %","33.3 %","305"
"Juan Castro","Dodgers","39","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","2","0.0 %","0.0 %","100.0 %","0.0 %","100.0 %","0.0 %","315"
"Omar Vizquel","White Sox","44","5","1","5","1","1","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","5","2","2","6","8","0.0 %","60.0 %","40.0 %","60.0 %","20.0 %","20.0 %","411"
"Lance Berkman","Cardinals","35","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","0.0 %","0.0 %","100.0 %","0.0 %","0.0 %","100.0 %","548"
"Julio Lugo","Braves","35","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","100.0 %","0.0 %","0.0 %","0.0 %","0.0 %","100.0 %","565"
"Bobby Abreu","Angels","37","2","1","2","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","2","1","0","3","3","0.0 %","0.0 %","100.0 %","0.0 %","50.0 %","50.0 %","945"
"Edgar Renteria","Reds","34","9","3","9","3","3","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","9","3","2","11","13","88.9 %","11.1 %","0.0 %","22.2 %","77.8 %","0.0 %","1178"
