"Name","Team","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","SF","SH","GDP","SB","CS","GB","FB","LD","IFFB","IFH","BU","BUH","Balls","Strikes","Pitches","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","playerid"
"Aubrey Huff","Orioles","32","1","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","2","2","100.0 %","0.0 %","0.0 %","0.0 %","0.0 %","100.0 %","1213"
"Aaron Rowand","Giants","31","2","2","2","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","3","3","50.0 %","0.0 %","50.0 %","0.0 %","100.0 %","0.0 %","254"
"Carlos Zambrano","Cubs","28","2","1","2","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","2","1","3","4","7","0.0 %","50.0 %","50.0 %","0.0 %","100.0 %","0.0 %","305"
"Johan Santana","Mets","30","8","1","11","1","1","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","11","2","2","12","14","72.7 %","18.2 %","9.1 %","9.1 %","81.8 %","9.1 %","755"
"Derek Jeter","Yankees","35","7","3","7","3","3","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","7","3","5","7","12","57.1 %","42.9 %","0.0 %","0.0 %","100.0 %","0.0 %","826"
"Matt Downs","Giants","25","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","100.0 %","0.0 %","0.0 %","0.0 %","0.0 %","100.0 %","957"
"Willie Bloomquist","Royals","31","6","2","6","2","2","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","6","2","5","9","14","16.7 %","50.0 %","33.3 %","0.0 %","100.0 %","0.0 %","1066"
"Pedro Feliz","Phillies","34","3","1","3","1","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","3","2","0","3","3","66.7 %","0.0 %","33.3 %","0.0 %","100.0 %","0.0 %","1112"
"Eric Hinske","Pirates","31","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","0.0 %","0.0 %","100.0 %","0.0 %","100.0 %","0.0 %","1305"
"Chris Woodward","Mariners","33","2","1","2","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","2","1","0","2","2","0.0 %","100.0 %","0.0 %","0.0 %","100.0 %","0.0 %","1329"
"Jack Cust","Athletics","30","3","3","3","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","0","3","3","0.0 %","0.0 %","100.0 %","0.0 %","66.7 %","33.3 %","1564"
"Robb Quinlan","Angels","32","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","0.0 %","100.0 %","0.0 %","0.0 %","100.0 %","0.0 %","1779"
"Bobby Crosby","Athletics","29","6","2","6","2","2","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","6","2","3","7","10","50.0 %","33.3 %","16.7 %","0.0 %","83.3 %","16.7 %","1818"
"Khalil Greene","Cardinals","29","3","1","3","1","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","3","1","1","4","5","33.3 %","66.7 %","0.0 %","33.3 %","66.7 %","0.0 %","1826"
