"Name","Team","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","SF","SH","GDP","SB","CS","GB","FB","LD","IFFB","IFH","BU","BUH","Balls","Strikes","Pitches","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","playerid"
"Armando Galarraga","Tigers","26","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","3","3","0.0 %","0.0 %","100.0 %","100.0 %","0.0 %","0.0 %","4222"
"Howie Kendrick","Angels","24","2","1","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","2","0","1","3","4","0.0 %","50.0 %","50.0 %","0.0 %","0.0 %","100.0 %","4229"
"Stephen Drew","Diamondbacks","25","4","1","4","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","4","0","0","5","5","50.0 %","0.0 %","50.0 %","50.0 %","50.0 %","0.0 %","4251"
"Micah Owings","Diamondbacks","25","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","1","1","0.0 %","100.0 %","0.0 %","0.0 %","100.0 %","0.0 %","4253"
"Daniel Murphy","Mets","23","2","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","3","3","50.0 %","0.0 %","50.0 %","100.0 %","0.0 %","0.0 %","4316"
"Brian Barden","Cardinals","27","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","2","2","100.0 %","0.0 %","0.0 %","0.0 %","100.0 %","0.0 %","4429"
"Jeff Salazar","Diamondbacks","27","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","1","1","0.0 %","100.0 %","0.0 %","100.0 %","0.0 %","0.0 %","4507"
"Scott Olsen","Marlins","24","7","1","9","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","9","0","3","12","15","22.2 %","44.4 %","33.3 %","22.2 %","77.8 %","0.0 %","4529"
"James Loney","Dodgers","24","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","1","1","0.0 %","0.0 %","100.0 %","0.0 %","100.0 %","0.0 %","4556"
"Delwyn Young","Dodgers","26","3","0","3","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","3","0","1","3","4","33.3 %","66.7 %","0.0 %","66.7 %","33.3 %","0.0 %","4563"
