"Name","Team","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","SF","SH","GDP","SB","CS","GB","FB","LD","IFFB","IFH","BU","BUH","Balls","Strikes","Pitches","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","playerid"
"Adam Kennedy","Nationals","34","2","1","2","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","2","1","0","2","2","0.0 %","50.0 %","50.0 %","50.0 %","50.0 %","0.0 %","19"
"Danny Worth","Tigers","24","5","2","5","2","2","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","5","2","0","7","7","40.0 %","60.0 %","0.0 %","0.0 %","80.0 %","20.0 %","198"
"Jason Varitek","Red Sox","38","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","0.0 %","0.0 %","100.0 %","0.0 %","100.0 %","0.0 %","217"
"Russell Branyan","Indians","34","2","1","2","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","2","1","0","2","2","0.0 %","0.0 %","100.0 %","0.0 %","50.0 %","50.0 %","370"
"J.D. Drew","Red Sox","34","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2","1","3","0.0 %","0.0 %","100.0 %","0.0 %","0.0 %","100.0 %","1152"
"Aubrey Huff","Giants","33","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","0.0 %","0.0 %","100.0 %","0.0 %","100.0 %","0.0 %","1213"
"Miguel Cairo","Reds","36","3","1","3","1","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","3","1","2","4","6","33.3 %","66.7 %","0.0 %","33.3 %","66.7 %","0.0 %","1412"
"Mark Ellis","Athletics","33","6","3","6","3","3","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","6","3","1","8","9","50.0 %","0.0 %","50.0 %","0.0 %","50.0 %","50.0 %","1443"
"David Ross","Braves","33","4","2","4","2","2","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","4","2","0","5","5","50.0 %","25.0 %","25.0 %","50.0 %","25.0 %","25.0 %","1551"
"DeWayne Wise","Blue Jays","32","2","1","2","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","2","1","0","2","2","50.0 %","50.0 %","0.0 %","0.0 %","100.0 %","0.0 %","1554"
"Bobby Crosby","Pirates","30","3","1","3","1","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","3","2","0","4","4","33.3 %","33.3 %","33.3 %","0.0 %","100.0 %","0.0 %","1818"
"Adrian Gonzalez","Padres","28","4","2","4","2","2","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","4","2","0","4","4","0.0 %","25.0 %","75.0 %","25.0 %","50.0 %","25.0 %","1908"
"Casey Kotchman","Mariners","27","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","0.0 %","100.0 %","0.0 %","0.0 %","100.0 %","0.0 %","1930"
"Corey Hart","Brewers","28","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","100.0 %","0.0 %","0.0 %","0.0 %","100.0 %","0.0 %","1945"
"Don Kelly","Tigers","30","2","1","2","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","2","1","3","3","6","0.0 %","50.0 %","50.0 %","0.0 %","50.0 %","50.0 %","2216"
"Carlos Santana","Indians","24","2","2","2","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","2","3","5","0.0 %","0.0 %","100.0 %","0.0 %","50.0 %","50.0 %","2396"
"Jason Repko","Twins","29","4","3","4","3","3","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","4","3","3","7","10","75.0 %","0.0 %","25.0 %","0.0 %","100.0 %","0.0 %","2628"
"Shin-Soo Choo","Indians","27","3","3","3","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","0","3","3","0.0 %","0.0 %","100.0 %","0.0 %","66.7 %","33.3 %","3174"
"Alejandro De Aza","White Sox","26","2","1","2","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","2","1","0","2","2","50.0 %","50.0 %","0.0 %","0.0 %","50.0 %","50.0 %","3371"
"Ryan Braun","Brewers","26","4","4","4","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","4","0","4","4","100.0 %","0.0 %","0.0 %","0.0 %","50.0 %","50.0 %","3410"
"Drew Butera","Twins","26","5","2","5","2","2","0","0","0","0","1","0","3","0","0","0","0","0","0","0","0","5","3","2","6","8","60.0 %","0.0 %","40.0 %","0.0 %","100.0 %","0.0 %","3411"
"Kevin Russo","Yankees","25","2","1","2","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","2","1","0","2","2","100.0 %","0.0 %","0.0 %","0.0 %","50.0 %","50.0 %","3630"
"Brooks Conrad","Braves","30","5","1","5","1","1","0","0","0","0","1","0","4","0","0","0","0","0","0","0","0","5","1","1","7","8","60.0 %","20.0 %","20.0 %","0.0 %","100.0 %","0.0 %","3664"
