"Name","Team","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","SF","SH","GDP","SB","CS","GB","FB","LD","IFFB","IFH","BU","BUH","Balls","Strikes","Pitches","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","playerid"
"Marcus Giles","Braves","28","8","3","8","3","3","0","0","0","0","1","0","5","0","0","0","0","0","0","0","0","8","3","3","9","12","0.0 %","12.5 %","87.5 %","0.0 %","75.0 %","25.0 %","89"
"Jerry Hairston","- - -","30","9","3","10","3","3","0","0","0","0","2","0","7","0","0","0","0","0","0","0","0","10","5","6","16","22","30.0 %","30.0 %","40.0 %","20.0 %","70.0 %","10.0 %","144"
"Victor Santos","Pirates","29","6","1","7","1","1","0","0","0","0","1","0","6","0","0","0","0","0","0","0","0","7","3","3","10","13","14.3 %","57.1 %","28.6 %","57.1 %","42.9 %","0.0 %","446"
"Robert Fick","Nationals","32","3","1","3","1","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","3","1","0","3","3","0.0 %","33.3 %","66.7 %","0.0 %","100.0 %","0.0 %","466"
"Mike Lowell","Red Sox","32","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","2","2","100.0 %","0.0 %","0.0 %","0.0 %","100.0 %","0.0 %","527"
"Preston Wilson","Astros","31","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","100.0 %","0.0 %","0.0 %","0.0 %","0.0 %","100.0 %","545"
"Carlos Beltran","Mets","29","3","2","3","2","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","3","3","0","3","3","0.0 %","0.0 %","100.0 %","0.0 %","66.7 %","33.3 %","589"
"Bobby Kielty","Athletics","29","4","2","4","2","2","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","4","2","0","4","4","0.0 %","50.0 %","50.0 %","25.0 %","50.0 %","25.0 %","736"
"Jay Payton","Athletics","33","2","2","2","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","4","4","50.0 %","50.0 %","0.0 %","0.0 %","100.0 %","0.0 %","890"
"Travis Lee","Devil Rays","31","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","0.0 %","0.0 %","100.0 %","0.0 %","0.0 %","100.0 %","958"
"Adrian Brown","Rangers","32","2","1","2","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","2","1","0","3","3","50.0 %","0.0 %","50.0 %","50.0 %","50.0 %","0.0 %","985"
"Jason Kendall","Athletics","32","5","1","5","1","1","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","5","1","4","7","11","40.0 %","40.0 %","20.0 %","20.0 %","80.0 %","0.0 %","993"
"Carlos Guillen","Tigers","30","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","0.0 %","0.0 %","100.0 %","0.0 %","100.0 %","0.0 %","1079"
"Toby Hall","Devil Rays","30","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","100.0 %","0.0 %","0.0 %","0.0 %","0.0 %","100.0 %","1210"
"Paul Hoover","Marlins","30","1","1","1","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1","2","0.0 %","0.0 %","100.0 %","0.0 %","100.0 %","0.0 %","1212"
"Gabe Kapler","Red Sox","30","3","3","3","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","1","3","4","100.0 %","0.0 %","0.0 %","0.0 %","33.3 %","66.7 %","1256"
"Jose Cruz","Dodgers","32","5","1","5","1","1","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","5","1","3","6","9","0.0 %","40.0 %","60.0 %","20.0 %","80.0 %","0.0 %","1296"
"Orlando Hudson","Diamondbacks","28","7","3","7","3","3","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","7","3","3","9","12","0.0 %","0.0 %","100.0 %","0.0 %","85.7 %","14.3 %","1307"
"Alex Cora","Red Sox","30","8","4","8","4","4","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","8","4","1","9","10","37.5 %","37.5 %","25.0 %","0.0 %","75.0 %","25.0 %","1386"
"Miguel Cairo","Yankees","32","7","2","7","2","2","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","7","2","1","10","11","14.3 %","42.9 %","42.9 %","0.0 %","85.7 %","14.3 %","1412"
