name,url,team,pos,owner,orank,rank,owned
Oliver Drake,http://sports.yahoo.com/mlb/players/9311,Bal,SP,FA,694,-,0%
Jesse Biddle,http://sports.yahoo.com/mlb/players/9608,Phi,SP,FA,695,-,0%
Nick Kingham,http://sports.yahoo.com/mlb/players/9614,Pit,SP,FA,696,-,0%
Rafael De Paula,http://sports.yahoo.com/mlb/players/9602,SD,SP,FA,697,-,0%
Carlos Rodon,http://sports.yahoo.com/mlb/players/9823,CWS,RP,FA,698,-,9%
Jameson Taillon,http://sports.yahoo.com/mlb/players/9123,Pit,SP,FA,699,-,2%
Johan Santana,http://sports.yahoo.com/mlb/players/6441,Tor,SP,FA,700,-,0%
Arnold Leon,http://sports.yahoo.com/mlb/players/9696,Oak,SP,FA,701,-,0%
Aaron Nola,http://sports.yahoo.com/mlb/players/9882,Phi,SP,FA,702,-,1%
Justin Nicolino,http://sports.yahoo.com/mlb/players/9588,Mia,SP,FA,703,-,0%
Kyle Zimmer,http://sports.yahoo.com/mlb/players/9335,KC,SP,FA,704,-,2%
Max Fried,http://sports.yahoo.com/mlb/players/9620,Atl,SP,FA,705,-,0%
Zach Lee,http://sports.yahoo.com/mlb/players/9330,LAD,SP,FA,706,-,0%
Braden Shipley,http://sports.yahoo.com/mlb/players/9854,Ari,SP,FA,707,-,1%
Radhames Liz,http://sports.yahoo.com/mlb/players/8095,Pit,RP,FA,708,-,0%
Jeff Hoffman,http://sports.yahoo.com/mlb/players/9896,Tor,SP,FA,709,-,0%
Christian Garcia,http://sports.yahoo.com/mlb/players/9269,Was,RP,FA,710,-,0%
Frank Herrmann,http://sports.yahoo.com/mlb/players/8740,LAA,RP,FA,711,-,0%
Eduardo Rodriguez,http://sports.yahoo.com/mlb/players/9546,Bos,SP,FA,712,-,1%
Jacob Lindgren,http://sports.yahoo.com/mlb/players/9878,NYY,RP,FA,713,-,0%
Steven Matz,http://sports.yahoo.com/mlb/players/9599,NYM,SP,FA,714,-,1%
Tyler Kolek,http://sports.yahoo.com/mlb/players/9869,Mia,SP,FA,715,-,1%
Jon Gray,http://sports.yahoo.com/mlb/players/9567,Col,SP,FA,716,-,3%
Lucas Sims,http://sports.yahoo.com/mlb/players/9544,Atl,SP,FA,717,-,0%
Jonny Venters,http://sports.yahoo.com/mlb/players/8709,Atl,RP,FA,718,-,0%
Dylan Bundy,http://sports.yahoo.com/mlb/players/9125,Bal,RP,FA,719,-,5%
A.J. Achter,http://sports.yahoo.com/mlb/players/9824,Min,RP,FA,720,599,0%
Luis Ayala,http://sports.yahoo.com/mlb/players/7080,Tor,RP,FA,722,-,0%
Luis Perez,http://sports.yahoo.com/mlb/players/8902,Tor,RP,FA,723,-,0%
Wilmer Font,http://sports.yahoo.com/mlb/players/9042,Cin,RP,FA,724,-,0%
Cory Burns,http://sports.yahoo.com/mlb/players/9256,Tor,RP,FA,726,-,0%
Juan Gutierrez,http://sports.yahoo.com/mlb/players/8093,SF,RP,FA,727,537,0%
Nick Greenwood,http://sports.yahoo.com/mlb/players/9733,StL,RP,FA,728,583,0%
