name,url,team,pos,owner,orank,rank,owned
David Wright,http://sports.yahoo.com/mlb/players/7382,NYM,3B,Slow Rollers,85,252,92%
Dustin Pedroia,http://sports.yahoo.com/mlb/players/7631,Bos,2B,Slow Rollers,90,203,97%
Marcell Ozuna,http://sports.yahoo.com/mlb/players/9385,Mia,OF,The Alliance,91,92,80%
Alex Gordon,http://sports.yahoo.com/mlb/players/7907,KC,OF,The Gladiators,92,74,89%
J.D. Martinez,http://sports.yahoo.com/mlb/players/9002,Det,OF,JeRsEy FU's,94,69,93%
Kolten Wong,http://sports.yahoo.com/mlb/players/9103,StL,2B,Dugo's Way,98,266,86%
Chris Davis,http://sports.yahoo.com/mlb/players/8285,Bal,1B/3B,Rain On 'Em,100,253,93%
Jason Kipnis,http://sports.yahoo.com/mlb/players/8853,Cle,2B,Stiinta Craiova,102,316,87%
Brett Gardner,http://sports.yahoo.com/mlb/players/8289,NYY,OF,D's Ballers,103,95,90%
Jonathan Lucroy,http://sports.yahoo.com/mlb/players/8609,Mil,C/1B,Dugo's Way,105,104,82%
Alexei Ramirez,http://sports.yahoo.com/mlb/players/8169,CWS,SS,Slow Rollers,107,58,80%
Chris Carter,http://sports.yahoo.com/mlb/players/8640,Hou,1B/OF,The Gladiators,108,94,71%
Evan Gattis,http://sports.yahoo.com/mlb/players/9356,Hou,C,King of Chardonnay,110,289,92%
Manny Machado,http://sports.yahoo.com/mlb/players/9111,Bal,3B,A-Rods Dope Supplier,111,480,91%
Matt Carpenter,http://sports.yahoo.com/mlb/players/8953,StL,3B,Rain On 'Em,112,130,95%
Ryan Zimmerman,http://sports.yahoo.com/mlb/players/7627,Was,1B/3B/OF,Stoolies,113,824,88%
Devin Mesoraco,http://sports.yahoo.com/mlb/players/8851,Cin,C,Slow Rollers,114,132,71%
Brandon Belt,http://sports.yahoo.com/mlb/players/8795,SF,1B,BeAsT mOdE,115,794,49%
Yan Gomes,http://sports.yahoo.com/mlb/players/9186,Cle,C,Rain On 'Em,119,139,70%
Mark Trumbo,http://sports.yahoo.com/mlb/players/8824,Ari,1B/OF,BeAsT mOdE,120,405,86%
Neil Walker,http://sports.yahoo.com/mlb/players/8571,Pit,2B,Dugo's Way,123,105,82%
Shin-soo Choo,http://sports.yahoo.com/mlb/players/7498,Tex,OF,BeAsT mOdE,125,399,53%
Adam LaRoche,http://sports.yahoo.com/mlb/players/7253,CWS,1B,Team autodraft VIII,126,79,65%
Jimmy Rollins,http://sports.yahoo.com/mlb/players/6419,LAD,SS,Team autodraft VIII,127,116,79%
Yadier Molina,http://sports.yahoo.com/mlb/players/7345,StL,C,Stoolies,128,500,90%
A.J. Pollock,http://sports.yahoo.com/mlb/players/9157,Ari,OF,The Alliance,129,374,79%
Salvador Perez,http://sports.yahoo.com/mlb/players/9015,KC,C,Daddy W,130,211,96%
Matt Adams,http://sports.yahoo.com/mlb/players/9100,StL,1B,D's Ballers,131,167,75%
Elvis Andrus,http://sports.yahoo.com/mlb/players/8401,Tex,SS,Stiinta Craiova,134,206,81%
Howie Kendrick,http://sports.yahoo.com/mlb/players/7746,LAD,2B,Rain On 'Em,135,71,89%
Leonys Martin,http://sports.yahoo.com/mlb/players/8922,Tex,OF,Stiinta Craiova,136,146,66%
Eric Hosmer,http://sports.yahoo.com/mlb/players/8857,KC,1B,Dugo's Way,139,281,86%
Brandon Moss,http://sports.yahoo.com/mlb/players/8082,Cle,1B/OF,King of Chardonnay,140,151,74%
Starlin Castro,http://sports.yahoo.com/mlb/players/8611,ChC,SS,The Alliance,142,156,93%
Lucas Duda,http://sports.yahoo.com/mlb/players/8796,NYM,1B,JeRsEy FU's,143,72,82%
Daniel Murphy,http://sports.yahoo.com/mlb/players/8314,NYM,2B/3B,D's Ballers,147,117,75%
Ben Revere,http://sports.yahoo.com/mlb/players/8687,Phi,OF,Rain On 'Em,148,70,58%
Hunter Pence,http://sports.yahoo.com/mlb/players/7963,SF,OF,Stiinta Craiova,149,29,85%
Justin Morneau,http://sports.yahoo.com/mlb/players/7063,Col,1B,Stoolies,150,78,63%
Ben Zobrist,http://sports.yahoo.com/mlb/players/7829,Oak,2B/SS/OF,The Gladiators,151,153,71%
Jayson Werth,http://sports.yahoo.com/mlb/players/6423,Was,OF,The Alliance,152,49,63%
Joc Pederson,http://sports.yahoo.com/mlb/players/9414,LAD,OF,Slow Rollers,155,1307,88%
Josh Harrison,http://sports.yahoo.com/mlb/players/8950,Pit,2B/3B/OF,King of Chardonnay,157,60,77%
Melky Cabrera,http://sports.yahoo.com/mlb/players/7595,CWS,OF,Slow Rollers,158,59,68%
Brian McCann,http://sports.yahoo.com/mlb/players/7569,NYY,C/1B,The Gladiators,160,227,90%
Xander Bogaerts,http://sports.yahoo.com/mlb/players/9319,Bos,3B/SS,Stiinta Craiova,162,413,85%
Alex Rios,http://sports.yahoo.com/mlb/players/7254,KC,OF,The Gladiators,163,222,65%
Avisail Garcia,http://sports.yahoo.com/mlb/players/9281,CWS,OF,Daddy W,164,920,61%
Chase Utley,http://sports.yahoo.com/mlb/players/7072,Phi,2B,Stoolies,166,125,55%
Adam Eaton,http://sports.yahoo.com/mlb/players/9302,CWS,OF,The Alliance,167,182,37%
Mike Napoli,http://sports.yahoo.com/mlb/players/7754,Bos,1B,BeAsT mOdE,169,310,46%
Coco Crisp,http://sports.yahoo.com/mlb/players/6983,Oak,OF,Daddy W,173,225,35%
Torii Hunter,http://sports.yahoo.com/mlb/players/5884,Min,OF,FA,174,91,46%
Rusney Castillo,http://sports.yahoo.com/mlb/players/9795,Bos,OF,W (May 7),178,1064,43%
Aramis Ramirez,http://sports.yahoo.com/mlb/players/6014,Mil,3B,Daddy W,180,201,47%
Marlon Byrd,http://sports.yahoo.com/mlb/players/6863,Cin,OF,FA,181,96,35%
Erick Aybar,http://sports.yahoo.com/mlb/players/7744,LAA,SS,FA,185,120,51%
Wilin Rosario,http://sports.yahoo.com/mlb/players/8854,Col,C,FA,186,331,28%
Russell Martin,http://sports.yahoo.com/mlb/players/7628,Tor,C,Team autodraft VIII,190,221,86%
Gregory Polanco,http://sports.yahoo.com/mlb/players/9613,Pit,OF,King of Chardonnay,192,430,77%
Jhonny Peralta,http://sports.yahoo.com/mlb/players/7156,StL,SS,Team autodraft VIII,193,150,81%
Wil Myers,http://sports.yahoo.com/mlb/players/8859,SD,OF,Stiinta Craiova,194,875,88%
Lorenzo Cain,http://sports.yahoo.com/mlb/players/8762,KC,OF,Slow Rollers,195,134,92%
Oswaldo Arcia,http://sports.yahoo.com/mlb/players/9342,Min,OF,FA,197,346,29%
Alcides Escobar,http://sports.yahoo.com/mlb/players/8344,KC,SS,Daddy W,199,114,67%
Pedro Alvarez,http://sports.yahoo.com/mlb/players/8645,Pit,1B/3B,BeAsT mOdE,201,322,69%
Steve Pearce,http://sports.yahoo.com/mlb/players/8117,Bal,1B/OF,Team autodraft VIII,205,179,35%
Michael Cuddyer,http://sports.yahoo.com/mlb/players/6637,NYM,1B/OF,Dugo's Way,206,435,61%
Rougned Odor,http://sports.yahoo.com/mlb/players/9634,Tex,2B,FA,207,464,25%
Austin Jackson,http://sports.yahoo.com/mlb/players/8412,Sea,OF,FA,208,236,39%
Danny Santana,http://sports.yahoo.com/mlb/players/9693,Min,SS/OF,Rain On 'Em,209,123,49%
Billy Butler,http://sports.yahoo.com/mlb/players/7634,Oak,1B,D's Ballers,210,263,60%
Matt Wieters,http://sports.yahoo.com/mlb/players/8395,Bal,C,Stoolies,211,971,63%
Adam Lind,http://sports.yahoo.com/mlb/players/7859,Mil,1B,Stoolies,213,394,52%
Khris Davis,http://sports.yahoo.com/mlb/players/9351,Mil,OF,Stiinta Craiova,214,164,33%
Steven Souza,http://sports.yahoo.com/mlb/players/9671,TB,OF,Rain On 'Em,215,1205,57%
Rajai Davis,http://sports.yahoo.com/mlb/players/7835,Det,OF,FA,217,111,45%
Carl Crawford,http://sports.yahoo.com/mlb/players/6870,LAD,OF,FA,218,160,24%
Joe Mauer,http://sports.yahoo.com/mlb/players/7062,Min,1B,Daddy W,223,294,47%
Yasmani Tomas,http://sports.yahoo.com/mlb/players/9850,Ari,3B/OF,Dugo's Way,224,-,42%
Denard Span,http://sports.yahoo.com/mlb/players/8213,Was,OF,Team autodraft VIII,225,54,54%
Carlos Beltran,http://sports.yahoo.com/mlb/players/6132,NYY,OF,The Gladiators,229,429,28%
Jean Segura,http://sports.yahoo.com/mlb/players/9247,Mil,SS,JeRsEy FU's,231,367,72%
Brett Lawrie,http://sports.yahoo.com/mlb/players/8874,Oak,2B/3B,FA,234,781,51%
Dexter Fowler,http://sports.yahoo.com/mlb/players/8370,ChC,OF,JeRsEy FU's,237,277,44%
Dalton Pompey,http://sports.yahoo.com/mlb/players/9822,Tor,OF,FA,242,1152,12%
Micah Johnson,http://sports.yahoo.com/mlb/players/9560,CWS,2B,The Alliance,244,-,12%
Chase Headley,http://sports.yahoo.com/mlb/players/8057,NYY,1B/3B,D's Ballers,249,348,42%
Desmond Jennings,http://sports.yahoo.com/mlb/players/8651,TB,OF,Rain On 'Em,252,317,20%
Curtis Granderson,http://sports.yahoo.com/mlb/players/7455,NYM,OF,A-Rods Dope Supplier,253,202,34%
J.J. Hardy,http://sports.yahoo.com/mlb/players/7283,Bal,SS,FA,255,342,35%
Kennys Vargas,http://sports.yahoo.com/mlb/players/9592,Min,1B,FA,256,743,10%
Mark Teixeira,http://sports.yahoo.com/mlb/players/6788,NYY,1B,The Gladiators,259,315,75%
Asdrubal Cabrera,http://sports.yahoo.com/mlb/players/7947,TB,2B/SS,FA,261,204,31%
Nick Markakis,http://sports.yahoo.com/mlb/players/7707,Atl,OF,Stoolies,262,157,42%
Drew Stubbs,http://sports.yahoo.com/mlb/players/8528,Col,OF,FA,263,128,8%
Martin Prado,http://sports.yahoo.com/mlb/players/7737,Mia,2B/3B/OF,Slow Rollers,264,194,63%
Nick Castellanos,http://sports.yahoo.com/mlb/players/9108,Det,3B,FA,267,303,20%
Wilson Ramos,http://sports.yahoo.com/mlb/players/8620,Was,C,BeAsT mOdE,270,523,68%
Michael Saunders,http://sports.yahoo.com/mlb/players/8538,Tor,OF,FA,273,535,6%
Alex Rodriguez,http://sports.yahoo.com/mlb/players/5275,NYY,3B,Daddy W,274,-,80%
Jedd Gyorko,http://sports.yahoo.com/mlb/players/9107,SD,2B,FA,275,839,17%
Kendrys Morales,http://sports.yahoo.com/mlb/players/7481,KC,1B,Team autodraft VIII,277,945,74%
Arismendy Alcantara,http://sports.yahoo.com/mlb/players/9554,ChC,2B/OF,FA,278,894,5%
Michael Morse,http://sports.yahoo.com/mlb/players/7562,Mia,1B/OF,FA,280,237,20%
Marcus Semien,http://sports.yahoo.com/mlb/players/9517,Oak,2B/3B/SS,Dugo's Way,281,914,79%
Angel Pagan,http://sports.yahoo.com/mlb/players/7717,SF,OF,D's Ballers,282,284,30%
Yasmani Grandal,http://sports.yahoo.com/mlb/players/9098,LAD,C/1B,FA,283,448,25%
Brandon Phillips,http://sports.yahoo.com/mlb/players/6857,Cin,2B,Team autodraft VIII,284,410,38%
Scooter Gennett,http://sports.yahoo.com/mlb/players/9420,Mil,2B,D's Ballers,286,224,6%
Travis d'Arnaud,http://sports.yahoo.com/mlb/players/9096,NYM,C,Dugo's Way,287,490,45%
Andre Ethier,http://sports.yahoo.com/mlb/players/7710,LAD,OF,FA,288,878,21%
Javier Baez,http://sports.yahoo.com/mlb/players/9557,ChC,2B/SS,FA,289,1003,18%
Chris Owings,http://sports.yahoo.com/mlb/players/9526,Ari,2B/SS,FA,290,761,9%
Odubel Herrera,http://sports.yahoo.com/mlb/players/9906,Phi,2B/SS/OF,FA,291,-,36%
Miguel Montero,http://sports.yahoo.com/mlb/players/7865,ChC,C,Slow Rollers,292,386,37%
Jon Singleton,http://sports.yahoo.com/mlb/players/9099,Hou,1B,FA,293,889,2%
Brad Miller,http://sports.yahoo.com/mlb/players/9446,Sea,2B/SS,FA,295,732,13%
