numer,r,p,obs,ubb,ibb,hbp,so,bu,hrofb,gb,ld,sofb,ofb,ifb
ubb,0.79736599670721453,1.9823024680736369e-303,1375,1,0,0,0,0,0,1,0,0,0,1
ubb,0.73873244900562485,1.6339673834688418e-237,1375,1,0,0,0,0,0,0,1,1,0,0
ubb,0.75459786835450304,1.7157988154148889e-253,1375,1,0,0,0,0,0,0,1,0,1,0
ubb,0.74738686861828496,4.4189259092187019e-246,1375,1,0,0,0,0,0,0,1,0,0,1
ubb,0.73100518354449384,3.8006283981464158e-230,1375,1,0,0,0,0,0,0,0,1,1,0
ubb,0.69448846971949107,3.0460322255256055e-198,1373,1,0,0,0,0,0,0,0,1,0,1
ubb,0.74234093647570554,4.8167036207261536e-241,1375,1,0,0,0,0,0,0,0,0,1,1
ubb,0.68304912473584667,1.3952072187857728e-189,1375,1,1,1,1,0,0,0,0,0,0,0
ubb,0.668998318403074,3.8602801455672107e-179,1375,1,1,1,0,1,0,0,0,0,0,0
ubb,0.6942296019953117,2.5387072393644562e-198,1375,1,1,1,0,0,1,0,0,0,0,0
ubb,0.79316224335824992,5.2868127872691362e-298,1375,1,1,1,0,0,0,1,0,0,0,0
ubb,0.73144541872523694,1.4691661471078106e-230,1375,1,1,1,0,0,0,0,1,0,0,0
ubb,0.57259088622956178,1.3350745804929136e-120,1375,1,1,1,0,0,0,0,0,1,0,0
ubb,0.72410168401141217,8.8629252463336553e-224,1375,1,1,1,0,0,0,0,0,0,1,0
ubb,0.69221693082190905,1.0174520420873824e-196,1375,1,1,1,0,0,0,0,0,0,0,1
ubb,0.68394537714837988,2.8742967812584746e-190,1375,1,1,0,1,1,0,0,0,0,0,0
ubb,0.69426121695934429,2.3951260371945048e-198,1375,1,1,0,1,0,1,0,0,0,0,0
ubb,0.73894556377704457,1.0147663231779567e-237,1375,1,1,0,1,0,0,1,0,0,0,0
ubb,0.67559518873757884,5.7079012180522454e-184,1375,1,1,0,1,0,0,0,1,0,0,0
ubb,0.68345931107031854,6.775421223538807e-190,1375,1,1,0,1,0,0,0,0,1,0,0
ubb,0.6817958732153776,1.258646838654354e-188,1375,1,1,0,1,0,0,0,0,0,1,0
ubb,0.68101250182319417,4.9496907420767289e-188,1375,1,1,0,1,0,0,0,0,0,0,1
ubb,0.61107592717956949,1.4919158717134022e-141,1375,1,1,0,0,1,1,0,0,0,0,0
ubb,0.80033780991551517,2.4164937073357407e-307,1375,1,1,0,0,1,0,1,0,0,0,0
ubb,0.75189401653475674,1.104626282053793e-250,1375,1,1,0,0,1,0,0,1,0,0,0
ubb,0.62390568618075259,3.3778030969548096e-149,1375,1,1,0,0,1,0,0,0,1,0,0
ubb,0.73237377749181121,1.9674675293664413e-231,1375,1,1,0,0,1,0,0,0,0,1,0
ubb,0.70843898167118768,4.9971366864211096e-210,1375,1,1,0,0,1,0,0,0,0,0,1
ubb,0.77900822983290108,1.2666014784681669e-280,1375,1,1,0,0,0,1,1,0,0,0,0
ubb,0.70342751840608353,8.0724551205132056e-206,1375,1,1,0,0,0,1,0,1,0,0,0
ubb,0.69557922303550734,4.0722337830537122e-199,1373,1,1,0,0,0,1,0,0,1,0,0
ubb,0.71280826229948935,9.0332053292944854e-214,1375,1,1,0,0,0,1,0,0,0,1,0
ubb,0.72349074760702992,3.1749815799952887e-223,1375,1,1,0,0,0,1,0,0,0,0,1
ubb,0.78966226462951628,1.397637250938467e-293,1375,1,1,0,0,0,0,1,1,0,0,0
ubb,0.79255951090608734,3.096195192859414e-297,1375,1,1,0,0,0,0,1,0,1,0,0
ubb,0.77718715435765084,1.758231285851593e-278,1375,1,1,0,0,0,0,1,0,0,1,0
ubb,0.79335141637519768,3.0320527549437296e-298,1375,1,1,0,0,0,0,1,0,0,0,1
ubb,0.72950745720164289,9.5078905836003669e-229,1375,1,1,0,0,0,0,0,1,1,0,0
ubb,0.75017624693027574,6.4389874430315644e-249,1375,1,1,0,0,0,0,0,1,0,1,0
ubb,0.73918185854634288,5.9806673327533339e-238,1375,1,1,0,0,0,0,0,1,0,0,1
ubb,0.72434088672888786,5.3727257465135397e-224,1375,1,1,0,0,0,0,0,0,1,1,0
ubb,0.67590657694729428,3.3524338673859836e-184,1375,1,1,0,0,0,0,0,0,1,0,1
ubb,0.73608840579949353,5.7960845393046639e-235,1375,1,1,0,0,0,0,0,0,0,1,1
ubb,0.69395778132028763,4.1866541344316587e-198,1375,1,0,1,1,1,0,0,0,0,0,0
ubb,0.69050291512726236,2.30237720886921e-195,1375,1,0,1,1,0,1,0,0,0,0,0
ubb,0.74190048623225813,1.3087270467637989e-240,1375,1,0,1,1,0,0,1,0,0,0,0
ubb,0.68225798239384283,5.6005406688044949e-189,1375,1,0,1,1,0,0,0,1,0,0,0
ubb,0.68696505464560409,1.3444328163051199e-192,1375,1,0,1,1,0,0,0,0,1,0,0
ubb,0.68684784125624021,1.657727433053446e-192,1375,1,0,1,1,0,0,0,0,0,1,0
ubb,0.68600832164247505,7.4103240018550286e-192,1375,1,0,1,1,0,0,0,0,0,0,1
ubb,0.62372952522767544,4.3254224169430787e-149,1375,1,0,1,0,1,1,0,0,0,0,0
ubb,0.80267241008535262,1.8265737398746964e-310,1375,1,0,1,0,1,0,1,0,0,0,0
ubb,0.76032503385616701,1.4529957527558816e-259,1375,1,0,1,0,1,0,0,1,0,0,0
ubb,0.70689938370852512,2.8360509668640852e-208,1372,1,0,1,0,1,0,0,0,1,0,0
ubb,0.7397199722590817,1.7902360641582062e-238,1375,1,0,1,0,1,0,0,0,0,1,0
ubb,0.76077098654645914,4.8114099490470594e-260,1375,1,0,1,0,1,0,0,0,0,0,1
ubb,0.78131722817132132,2.2728979726379268e-283,1375,1,0,1,0,0,1,1,0,0,0,0
ubb,0.70967607632945717,4.4265094156145544e-211,1375,1,0,1,0,0,1,0,1,0,0,0
ubb,0.66024517471769184,6.4025604727564406e-173,1375,1,0,1,0,0,1,0,0,1,0,0
ubb,0.71718159523143832,1.3754717066628812e-217,1375,1,0,1,0,0,1,0,0,0,1,0
ubb,0.71524061675167405,6.9438093899044897e-216,1375,1,0,1,0,0,1,0,0,0,0,1
ubb,0.79152059116633589,6.4269960486737044e-296,1375,1,0,1,0,0,0,1,1,0,0,0
ubb,0.79500638481347718,2.2830661704374227e-300,1375,1,0,1,0,0,0,1,0,1,0,0
ubb,0.77920716749554741,7.3681226137305692e-281,1375,1,0,1,0,0,0,1,0,0,1,0
ubb,0.79569595487250722,2.9380065378719472e-301,1375,1,0,1,0,0,0,1,0,0,0,1
ubb,0.73837850154593831,3.600671822309074e-237,1375,1,0,1,0,0,0,0,1,1,0,0
ubb,0.75359242992445807,1.9194563340142065e-252,1375,1,0,1,0,0,0,0,1,0,1,0
ubb,0.74699116949069322,1.1083487074657265e-245,1375,1,0,1,0,0,0,0,1,0,0,1
ubb,0.73062170548262317,8.6847117722293293e-230,1375,1,0,1,0,0,0,0,0,1,1,0
ubb,0.70965163098257744,4.6442547095023659e-211,1375,1,0,1,0,0,0,0,0,1,0,1
ubb,0.74169662123122759,2.0771789651521383e-240,1375,1,0,1,0,0,0,0,0,0,1,1
ubb,0.6840624619276684,2.337312988657005e-190,1375,1,0,0,1,1,1,0,0,0,0,0
ubb,0.74860767188822397,2.5615583012600792e-247,1375,1,0,0,1,1,0,1,0,0,0,0
ubb,0.69341846240946725,1.1277241519058396e-197,1375,1,0,0,1,1,0,0,1,0,0,0
ubb,0.6903588220278013,2.9897006886284373e-195,1375,1,0,0,1,1,0,0,0,1,0,0
ubb,0.69124669228929536,5.9635210255343007e-196,1375,1,0,0,1,1,0,0,0,0,1,0
ubb,0.68921571437815055,2.3620594308457617e-194,1375,1,0,0,1,1,0,0,0,0,0,1
ubb,0.73289280918539779,6.3699471287219674e-232,1375,1,0,0,1,0,1,1,0,0,0,0
ubb,0.67299331590709022,4.7482433302124942e-182,1375,1,0,0,1,0,1,0,1,0,0,0
ubb,0.69242720765572185,6.9289475408905455e-197,1375,1,0,0,1,0,1,0,0,1,0,0
ubb,0.68315241926277426,1.1632949521594731e-189,1375,1,0,0,1,0,1,0,0,0,1,0
ubb,0.69165653929139737,2.8278862159232798e-196,1375,1,0,0,1,0,1,0,0,0,0,1
ubb,0.7485872236443526,2.6870734333800169e-247,1375,1,0,0,1,0,0,1,1,0,0,0
ubb,0.74124626343230648,5.7544210922631826e-240,1375,1,0,0,1,0,0,1,0,1,0,0
ubb,0.7411445961049874,7.2405830035748706e-240,1375,1,0,0,1,0,0,1,0,0,1,0
ubb,0.74321623361722233,6.5679392875904357e-242,1375,1,0,0,1,0,0,1,0,0,0,1
ubb,0.68074540228897673,7.887019757402702e-188,1375,1,0,0,1,0,0,0,1,1,0,0
ubb,0.70920669951930448,1.1120216619889681e-210,1375,1,0,0,1,0,0,0,1,0,1,0
ubb,0.68800409436392507,2.0902827094426585e-193,1375,1,0,0,1,0,0,0,1,0,0,1
ubb,0.68655359062088495,2.8035131312073928e-192,1375,1,0,0,1,0,0,0,0,1,1,0
ubb,0.68522898530514986,2.9618805764315129e-191,1375,1,0,0,1,0,0,0,0,1,0,1
ubb,0.69499247400049025,6.2170108828479302e-199,1375,1,0,0,1,0,0,0,0,0,1,1
ubb,0.78818375017392839,9.7316116574740612e-292,1375,1,0,0,0,1,1,1,0,0,0,0
ubb,0.72626439583718683,9.4134493093570342e-226,1375,1,0,0,0,1,1,0,1,0,0,0
ubb,0.59604869452857112,4.9341847148857971e-133,1375,1,0,0,0,1,1,0,0,1,0,0
ubb,0.72132484152192289,2.8470465472269926e-221,1375,1,0,0,0,1,1,0,0,0,1,0
ubb,0.69119607676554329,6.5385832690596075e-196,1375,1,0,0,0,1,1,0,0,0,0,1
ubb,0.79709696624310611,4.4489640126365802e-303,1375,1,0,0,0,1,0,1,1,0,0,0
ubb,0.80210881319296834,1.0448196774283625e-309,1375,1,0,0,0,1,0,1,0,1,0,0
ubb,0.78402888992813324,1.2260536148444473e-286,1375,1,0,0,0,1,0,1,0,0,1,0
ubb,0.80236283520159024,4.7639929797740165e-310,1375,1,0,0,0,1,0,1,0,0,0,1
ubb,0.75868861563568868,8.2150969400073416e-258,1375,1,0,0,0,1,0,0,1,1,0,0
ubb,0.76072770392713684,5.3567932399521128e-260,1375,1,0,0,0,1,0,0,1,0,1,0
ubb,0.7631664498894013,1.2184673761990794e-262,1375,1,0,0,0,1,0,0,1,0,0,1
ubb,0.7394196459649135,3.510995186310295e-238,1375,1,0,0,0,1,0,0,0,1,1,0
ubb,0.73906530531578118,7.7631858934976372e-238,1375,1,0,0,0,1,0,0,0,1,0,1
ubb,0.74849073795181142,3.3672957132952446e-247,1375,1,0,0,0,1,0,0,0,0,1,1
ubb,0.78076284221473213,1.044611772018519e-282,1375,1,0,0,0,0,1,1,1,0,0,0
ubb,0.78067210744542936,1.3402302283949963e-282,1375,1,0,0,0,0,1,1,0,1,0,0
ubb,0.77016829626994432,2.0708056723678388e-270,1375,1,0,0,0,0,1,1,0,0,1,0
ubb,0.78248357312774086,9.0506725621889687e-285,1375,1,0,0,0,0,1,1,0,0,0,1
ubb,0.7078152030014595,1.6881279638246851e-209,1375,1,0,0,0,0,1,0,1,1,0,0
ubb,0.74121297671157638,6.2040166922008916e-240,1375,1,0,0,0,0,1,0,1,0,1,0
ubb,0.7220465144767626,6.3950400311684686e-222,1375,1,0,0,0,0,1,0,1,0,0,1
ubb,0.71729963260508889,1.0824664630625987e-217,1375,1,0,0,0,0,1,0,0,1,1,0
ubb,0.70789376257985781,1.4484356608804669e-209,1375,1,0,0,0,0,1,0,0,1,0,1
ubb,0.73006720891741406,2.8616678309451327e-229,1375,1,0,0,0,0,1,0,0,0,1,1
ubb,0.79117175168791698,1.7725269910946966e-295,1375,1,0,0,0,0,0,1,1,1,0,0
ubb,0.78150239497499374,1.3643055874562154e-283,1375,1,0,0,0,0,0,1,1,0,1,0
ubb,0.79183852217168604,2.5452115492645997e-296,1375,1,0,0,0,0,0,1,1,0,0,1
ubb,0.77900985786504051,1.2610012487271443e-280,1375,1,0,0,0,0,0,1,0,1,1,0
ubb,0.79519680520448943,1.297073391391011e-300,1375,1,0,0,0,0,0,1,0,1,0,1
ubb,0.78042587916312356,2.6339586235050425e-282,1375,1,0,0,0,0,0,1,0,0,1,1
ubb,0.75355049132807661,2.1223236043468146e-252,1375,1,0,0,0,0,0,0,1,1,1,0
ubb,0.7452004027245821,6.9620118595942059e-244,1375,1,0,0,0,0,0,0,1,1,0,1
ubb,0.75750027372701256,1.5079142507370985e-256,1375,1,0,0,0,0,0,0,1,0,1,1
ubb,0.74157397485902066,2.7420763578617655e-240,1375,1,0,0,0,0,0,0,0,1,1,1
ubb,0.6815601607415408,1.9012302870136717e-188,1375,1,1,1,1,1,0,0,0,0,0,0
ubb,0.68746950336510826,5.4515807127956452e-193,1375,1,1,1,1,0,1,0,0,0,0,0
ubb,0.73840158081263096,3.4199990716208436e-237,1375,1,1,1,1,0,0,1,0,0,0,0
ubb,0.6767815498549925,7.488845123933511e-185,1375,1,1,1,1,0,0,0,1,0,0,0
ubb,0.67855374331643625,3.5401338807091247e-186,1375,1,1,1,1,0,0,0,0,1,0,0
ubb,0.68253335029816153,3.4542945517526492e-189,1375,1,1,1,1,0,0,0,0,0,1,0
ubb,0.67854054462236413,3.6218075368488269e-186,1375,1,1,1,1,0,0,0,0,0,0,1
ubb,0.62328087603706372,8.1139227388776192e-149,1375,1,1,1,0,1,1,0,0,0,0,0
ubb,0.79848035790053418,6.8742932825500939e-305,1375,1,1,1,0,1,0,1,0,0,0,0
ubb,0.75026718423694583,5.1964919809101575e-249,1375,1,1,1,0,1,0,0,1,0,0,0
ubb,0.65416157270272624,1.0166026880487986e-168,1375,1,1,1,0,1,0,0,0,1,0,0
ubb,0.73187937069391118,5.7461245287463725e-231,1375,1,1,1,0,1,0,0,0,0,1,0
ubb,0.71827552145678741,1.4867053132139875e-218,1375,1,1,1,0,1,0,0,0,0,0,1
ubb,0.77767468249942517,4.7153204027742947e-279,1375,1,1,1,0,0,1,1,0,0,0,0
ubb,0.70498671498788157,4.0479208743359184e-207,1375,1,1,1,0,0,1,0,1,0,0,0
ubb,0.68095166146342323,5.5040865263163353e-188,1375,1,1,1,0,0,1,0,0,1,0,0
ubb,0.71318947484407014,4.2261732822478949e-214,1375,1,1,1,0,0,1,0,0,0,1,0
ubb,0.71607628597742834,1.2884883311718217e-216,1375,1,1,1,0,0,1,0,0,0,0,1
ubb,0.78844799107521146,4.5701146689274753e-292,1375,1,1,1,0,0,0,1,1,0,0,0
ubb,0.79097715330313478,3.118921025551966e-295,1375,1,1,1,0,0,0,1,0,1,0,0
ubb,0.77624830284267943,2.1962493898128209e-277,1375,1,1,1,0,0,0,1,0,0,1,0
ubb,0.79176145282096733,3.1864406772818486e-296,1375,1,1,1,0,0,0,1,0,0,0,1
ubb,0.72970574668037935,6.2159491534477691e-229,1375,1,1,1,0,0,0,0,1,1,0,0
ubb,0.74931697922902085,4.8596401450181393e-248,1375,1,1,1,0,0,0,0,1,0,1,0
ubb,0.73923890434641604,5.2635487840844159e-238,1375,1,1,1,0,0,0,0,1,0,0,1
ubb,0.72427755054681653,6.1344503561516848e-224,1375,1,1,1,0,0,0,0,0,1,1,0
ubb,0.6892875085474891,2.0750810943802889e-194,1375,1,1,1,0,0,0,0,0,1,0,1
ubb,0.73571255770152022,1.3277008885590547e-234,1375,1,1,1,0,0,0,0,0,0,1,1
ubb,0.67829606186777991,5.5248014879795227e-186,1375,1,1,0,1,1,1,0,0,0,0,0
ubb,0.74488407716493032,1.4413836828222153e-243,1375,1,1,0,1,1,0,1,0,0,0,0
ubb,0.68690659704140422,1.4925050217056976e-192,1375,1,1,0,1,1,0,0,1,0,0,0
ubb,0.67830102978374851,5.4776202951570103e-186,1375,1,1,0,1,1,0,0,0,1,0,0
ubb,0.68603732641182702,7.0372960909931201e-192,1375,1,1,0,1,1,0,0,0,0,1,0
ubb,0.67890261155225917,1.9364373872959267e-186,1375,1,1,0,1,1,0,0,0,0,0,1
ubb,0.72991852562235005,3.9378619939734892e-229,1375,1,1,0,1,0,1,1,0,0,0,0
ubb,0.66959220845031198,1.4351288142251797e-179,1375,1,1,0,1,0,1,0,1,0,0,0
ubb,0.68985845483430042,7.3972879617945953e-195,1375,1,1,0,1,0,1,0,0,1,0,0
ubb,0.68022538927713172,1.9508173277328987e-187,1375,1,1,0,1,0,1,0,0,0,1,0
ubb,0.6887743003399015,5.2336956175227244e-194,1375,1,1,0,1,0,1,0,0,0,0,1
ubb,0.7458589632121142,1.5249374719379666e-244,1375,1,1,0,1,0,0,1,1,0,0,0
ubb,0.73774965567636563,1.4610097839178619e-236,1375,1,1,0,1,0,0,1,0,1,0,0
ubb,0.73857858692290601,2.3039664326753748e-237,1375,1,1,0,1,0,0,1,0,0,1,0
ubb,0.73981854897596278,1.4348532264164783e-238,1375,1,1,0,1,0,0,1,0,0,0,1
ubb,0.67534679783173901,8.7222993921611939e-184,1375,1,1,0,1,0,0,0,1,1,0,0
ubb,0.70587541002271648,7.287340916591684e-208,1375,1,1,0,1,0,0,0,1,0,1,0
ubb,0.68297658586862375,1.5851164902950337e-189,1375,1,1,0,1,0,0,0,1,0,0,1
ubb,0.68229801280383418,5.2207794079219334e-189,1375,1,1,0,1,0,0,0,0,1,1,0
ubb,0.67822483127336619,6.2476193385874575e-186,1375,1,1,0,1,0,0,0,0,1,0,1
ubb,0.69094319930874948,1.0353952894689919e-195,1375,1,1,0,1,0,0,0,0,0,1,1
ubb,0.78425909833641594,6.4399842847229331e-287,1375,1,1,0,0,1,1,1,0,0,0,0
ubb,0.71929452102607949,1.8536475500421325e-219,1375,1,1,0,0,1,1,0,1,0,0,0
ubb,0.60160462642490575,3.9458507089282457e-136,1375,1,1,0,0,1,1,0,0,1,0,0
ubb,0.71576282774817435,2.4253901154517329e-216,1375,1,1,0,0,1,1,0,0,0,1,0
ubb,0.68145444414524625,2.2872814103118803e-188,1375,1,1,0,0,1,1,0,0,0,0,1
ubb,0.79390217294408849,5.9884931851858414e-299,1375,1,1,0,0,1,0,1,1,0,0,0
ubb,0.79787739935333923,4.2492571590143239e-304,1375,1,1,0,0,1,0,1,0,1,0,0
ubb,0.78092865660999478,6.6228474960992803e-283,1375,1,1,0,0,1,0,1,0,0,1,0
ubb,0.79823986292919213,1.4225969629835672e-304,1375,1,1,0,0,1,0,1,0,0,0,1
ubb,0.74835131664628107,4.6645969681693354e-247,1375,1,1,0,0,1,0,0,1,1,0,0
ubb,0.75597611811394871,6.1460925914552508e-255,1375,1,1,0,0,1,0,0,1,0,1,0
ubb,0.75404095764374024,6.5459679832227887e-253,1375,1,1,0,0,1,0,0,1,0,0,1
ubb,0.73153431949422643,1.2123110073607848e-230,1375,1,1,0,0,1,0,0,0,1,1,0
ubb,0.69827192501592683,1.3958104701641567e-201,1375,1,1,0,0,1,0,0,0,1,0,1
ubb,0.74126480213819912,5.5182769053779849e-240,1375,1,1,0,0,1,0,0,0,0,1,1
ubb,0.77791715566509534,2.4473749178676385e-279,1375,1,1,0,0,0,1,1,1,0,0,0
ubb,0.77702733114116862,2.704784061885216e-278,1375,1,1,0,0,0,1,1,0,1,0,0
ubb,0.76746591241044748,2.2248909803531653e-267,1375,1,1,0,0,0,1,1,0,0,1,0
ubb,0.77889467434081661,1.7251697118486682e-280,1375,1,1,0,0,0,1,1,0,0,0,1
ubb,0.7031814800678442,1.2922004465577002e-205,1375,1,1,0,0,0,1,0,1,1,0,0
ubb,0.73776606936291556,1.4086361244386269e-236,1375,1,1,0,0,0,1,0,1,0,1,0
ubb,0.71729021012676919,1.1033703461467795e-217,1375,1,1,0,0,0,1,0,1,0,0,1
ubb,0.71339670273163458,2.7950457662798617e-214,1375,1,1,0,0,0,1,0,0,1,1,0
ubb,0.71360155427516958,1.8566590058206632e-214,1375,1,1,0,0,0,1,0,0,1,0,1
ubb,0.72606471734263311,1.4347720121274437e-225,1375,1,1,0,0,0,1,0,0,0,1,1
ubb,0.78807453507366332,1.3296017573824716e-291,1375,1,1,0,0,0,0,1,1,1,0,0
ubb,0.7791306073421892,9.0768140344062968e-281,1375,1,1,0,0,0,0,1,1,0,1,0
ubb,0.78881259064774178,1.607765297466133e-292,1375,1,1,0,0,0,0,1,1,0,0,1
ubb,0.77603515718354843,3.8895352579332135e-277,1375,1,1,0,0,0,0,1,0,1,1,0
ubb,0.79123154605224266,1.489815309658851e-295,1375,1,1,0,0,0,0,1,0,1,0,1
ubb,0.77752678498272187,7.0316267108150011e-279,1375,1,1,0,0,0,0,1,0,0,1,1
ubb,0.74924817737762639,5.7112858538033846e-248,1375,1,1,0,0,0,0,0,1,1,1,0
ubb,0.7373001721165191,3.9660160678817855e-236,1375,1,1,0,0,0,0,0,1,1,0,1
ubb,0.75341210445992646,2.9561628896011186e-252,1375,1,1,0,0,0,0,0,1,0,1,1
ubb,0.73563532296213974,1.5739638243968886e-234,1375,1,1,0,0,0,0,0,0,1,1,1
ubb,0.68135853418786396,2.7047526292604285e-188,1375,1,0,1,1,1,1,0,0,0,0,0
ubb,0.74786711696983865,1.4441833412516869e-246,1375,1,0,1,1,1,0,1,0,0,0,0
ubb,0.69393085977062663,4.3991734825103789e-198,1375,1,0,1,1,1,0,0,1,0,0,0
ubb,0.68831531351894326,1.19515382244783e-193,1375,1,0,1,1,1,0,0,0,1,0,0
ubb,0.69182844335615779,2.0672170187109569e-196,1375,1,0,1,1,1,0,0,0,0,1,0
ubb,0.68876483370308117,5.3236769293289128e-194,1375,1,0,1,1,1,0,0,0,0,0,1
ubb,0.73249565601391409,1.5100910529182371e-231,1375,1,0,1,1,0,1,1,0,0,0,0
ubb,0.67416665921780461,6.5028745140883083e-183,1375,1,0,1,1,0,1,0,1,0,0,0
ubb,0.68690776923767083,1.4893816875101199e-192,1375,1,0,1,1,0,1,0,0,1,0,0
ubb,0.6837258243025639,4.2348165136924532e-190,1375,1,0,1,1,0,1,0,0,0,1,0
ubb,0.68815948702924812,1.581328157612186e-193,1375,1,0,1,1,0,1,0,0,0,0,1
ubb,0.74807065616459134,8.9834287331359958e-247,1375,1,0,1,1,0,0,1,1,0,0,0
ubb,0.74071779228755186,1.8971770996697183e-239,1375,1,0,1,1,0,0,1,0,1,0,0
ubb,0.7408020016931175,1.569043487583271e-239,1375,1,0,1,1,0,0,1,0,0,1,0
ubb,0.74271074228505407,2.0777306576567486e-241,1375,1,0,1,1,0,0,1,0,0,0,1
ubb,0.68186644627222093,1.1123427064817703e-188,1375,1,0,1,1,0,0,0,1,1,0,0
ubb,0.70931431402632961,9.0045836278685155e-211,1375,1,0,1,1,0,0,0,1,0,1,0
ubb,0.68905741202138449,3.1424883866826205e-194,1375,1,0,1,1,0,0,0,1,0,0,1
