r,obs,ubb,ibb,hbp,so,bu,hrofb,gb,ld,sofb,ofb,ifb
0.74387482448827458,1375,1,0,0,0,0,0,0,0,0,0,0
0.48849435094824045,1103,0,1,0,0,0,0,0,0,0,0,0
0.56124253991236717,1250,0,0,1,0,0,0,0,0,0,0,0
0.87115549116419111,1375,0,0,0,1,0,0,0,0,0,0,0
0.73700579978466219,778,0,0,0,0,1,0,0,0,0,0,0
0.7541934713591496,1359,0,0,0,0,0,1,0,0,0,0,0
0.83895134996626364,1375,0,0,0,0,0,0,1,0,0,0,0
0.54438471384511511,1375,0,0,0,0,0,0,0,1,0,0,0
0.16422942244605554,1327,0,0,0,0,0,0,0,0,1,0,0
0.67419708359635877,1375,0,0,0,0,0,0,0,0,0,1,0
0.68532840326453748,1371,0,0,0,0,0,0,0,0,0,0,1
0.7495392946172269,1375,1,1,0,0,0,0,0,0,0,0,0
0.74016111023052555,1375,1,0,1,0,0,0,0,0,0,0,0
0.87719679686648389,1375,1,0,0,1,0,0,0,0,0,0,0
0.7406906561691432,1375,1,0,0,0,1,0,0,0,0,0,0
0.78935779180893539,1375,1,0,0,0,0,1,0,0,0,0,0
0.77874014792996216,1375,1,0,0,0,0,0,1,0,0,0,0
0.54997568921663698,1375,1,0,0,0,0,0,0,1,0,0,0
0.74443404329138474,1375,1,0,0,0,0,0,0,0,1,0,0
0.69903597646305071,1375,1,0,0,0,0,0,0,0,0,1,0
0.72992238949257648,1375,1,0,0,0,0,0,0,0,0,0,1
0.54413773285553813,1360,0,1,1,0,0,0,0,0,0,0,0
0.87270351140611058,1375,0,1,0,1,0,0,0,0,0,0,0
0.61402759952621966,1341,0,1,0,0,1,0,0,0,0,0,0
0.77803179582412318,1366,0,1,0,0,0,1,0,0,0,0,0
0.83610050427007987,1375,0,1,0,0,0,0,1,0,0,0,0
0.53404498708177806,1375,0,1,0,0,0,0,0,1,0,0,0
0.47110760015001091,1359,0,1,0,0,0,0,0,0,1,0,0
0.66778782097735701,1375,0,1,0,0,0,0,0,0,0,1,0
0.66294539729159185,1375,0,1,0,0,0,0,0,0,0,0,1
0.86497029408771786,1375,0,0,1,1,0,0,0,0,0,0,0
