fg_id,fg_name,role,fg_last,fg_first,bbm_id,bbm_last,bbm_first,yh_id,yh_last,yh_first,yh_team,yh_pos,howe_id,mlb_id
5003,Jake Diekman,pit,Diekman,Jake,7635,Diekman,Jake,9179,Diekman,Jake,PHI,RP,DIEKMAN19870121A,518617
5009,Kyle McPherson,pit,McPherson,Kyle,6389,McPherson,Kyle,9273,McPherson,Kyle,PIT,SP/RP,,519015
5015,B.J. Upton,bat,Upton,B.J.,5048,Upton,B.J.,7333,Upton Jr.,Melvin,ATL,OF,UPTON19840821A,425834
5028,Bo Schultz,pit,Schultz,Bo,,,,9646,,,,RP,,544759
5032,Dale Thayer,pit,Thayer,Dale,5722,Thayer,Dale,8486,Thayer,Dale,SD,RP,THAYER19801217A,445612
5038,Josh Donaldson,bat,Donaldson,Josh,6192,Donaldson,Josh,8723,Donaldson,Josh,OAK,3B,DONALDSON19851208A,518626
5039,Max Ramirez,bat,Ramirez,Max,,,,,,,,,,445615
5053,Tony Abreu,bat,Abreu,Tony,15,Abreu,Tony,8033,Abreu,Tony,SF,Util,,473234
5057,Yohan Flande,pit,Flande,Yohan,5971,Flande,Yohan,9745,,,,SP,FLANDE19860127A,456071
5063,Niuman Romero,bat,Romero,Niuman,,,,,,,,,,462962
5070,Josh Fields,pit,Fields,Josh,7368,Fields,Josh,9357,Fields,Josh,,RP,FIELDS19850819A,451661
5088,Franklin Morales,pit,Morales,Franklin,3386,Morales,Franklin,7951,Morales,Franklin,BOS,SP/RP,,462985
5089,Scott Diamond,pit,Diamond,Scott,6441,Diamond,Scott,8989,Diamond,Scott,MIN,SP,,539438
5097,Anthony Gose,bat,Gose,Anthony,6321,Gose,Anthony,9120,Gose,Anthony,TOR,OF,GOSE19900810A,543238
5098,Jordany Valdespin,bat,Valdespin,Jordany,6279,Valdespin,Jordany,9161,Valdespin,Jordany,NYM,2B/OF,VALDESPIN19871223A,518170
5099,Rick VandenHurk,pit,VandenHurk,Rick,,,,8006,van den Hurk,Rick,,RP,,462995
5100,Rob Delaney,pit,Delaney,Rob,,,,,,,,,,503438
5106,Guillermo Moscoso,pit,Moscoso,Guillermo,5648,Moscoso,Guillermo,8500,Moscoso,Guillermo,TOR,RP,,446861
5109,Evan Meek,pit,Meek,Evan,,,,8151,,,,RP,MEEK19830512A,457425
5114,Jeurys Familia,pit,Familia,Jeurys,7732,Familia,Jeurys,9299,Familia,Jeurys,NYM,RP,FAMILIA19891010A,544727
5124,Wilkin Castillo,bat,Castillo,Wilkin,,,,,,,,,,446868
5127,Sammy Gervacio,pit,Gervacio,Sammy,,,,,,,,,,463645
5128,Jeff Larish,bat,Larish,Jeff,,,,,,,,,,460252
5133,Alexei Ramirez,bat,Ramirez,Alexei,4032,Ramirez,Alexei,8169,Ramirez,Alexei,CWS,SS,RAMIREZcubaA01,493351
5157,Walter Silva,pit,Silva,Walter,,,,,,,,,,477581
5158,Victor Marte,pit,Marte,Victor,5849,Marte,Victor,8582,Marte,Victor,STL,RP,,469690
5164,Alfredo Aceves,pit,Aceves,Alfredo,18,Aceves,Alfredo,8336,Aceves,Alfredo,BOS,RP/SP,,469686
5177,C.C. Lee,pit,Lee,C.C.,,,,9462,Lee,C.C.,,RP,LEE19861021A,547348
5178,Ernesto Frieri,pit,Frieri,Ernesto,5573,Frieri,Ernesto,8599,Frieri,Ernesto,LAA,RP,FRIERI19850719A,457117
5180,Brayan Villarreal,pit,Villarreal,Brayan,6218,Villarreal,Brayan,8489,Villarreal,Brayan,DET,RP,,500903
5198,Chin-lung Hu,bat,Hu,Chin-lung,,,,,,,,,,464341
5199,Taylor Teagarden,bat,Teagarden,Taylor,4899,Teagarden,Taylor,8306,Teagarden,Taylor,BAL,C,,460003
5202,Vinny Rottino,bat,Rottino,Vinny,4318,Rottino,Vinny,7852,Rottino,Vinny,CLE,1B/OF,,457130
5203,Mike Pelfrey,pit,Pelfrey,Mike,3795,Pelfrey,Mike,7807,Pelfrey,Mike,MIN,SP,PELFREY19840114A,460059
5209,Alex Gordon,bat,Gordon,Alex,1834,Gordon,Alex,7907,Gordon,Alex,KC,OF,GORDON19840210A,460086
5212,Alfredo Marte,bat,Marte,Alfredo,7854,Marte,Alfredo,9354,Marte,Alfredo,,OF,,501245
5213,Chris Perez,pit,Perez,Chris,3832,Perez,Chris,8251,Perez,Chris,CLE,RP,PEREZ19850701A,453198
5219,Wilkin Ramirez,bat,Ramirez,Wilkin,5680,Ramirez,Wilkin,8478,Ramirez,Wilkin,,RF/CF,,457133
5221,Wade LeBlanc,pit,LeBlanc,Wade,2762,LeBlanc,Wade,8353,LeBlanc,Wade,MIA,RP/SP,,453281
5222,Justin Upton,bat,Upton,Justin,5049,Upton,Justin,8080,Upton,Justin,ATL,OF,UPTON19870825A,457708
5223,Cameron Maybin,bat,Maybin,Cameron,3127,Maybin,Cameron,7684,Maybin,Cameron,SD,OF,MAYBIN19870404A,457727
5224,Blake Parker,pit,Parker,Blake,5887,Parker,Blake,9185,Parker,Blake,,RP,PARKER19850619A,453284
5225,Roger Kieschnick,bat,Kieschnick,Roger,7160,Kieschnick,Roger,9474,Kieschnick,Roger,,OF,,523261
5226,Rudy Owens,pit,Owens,Rudy,6399,Owens,Rudy,8858,Owens,Rudy,HOU,SP,,502168
5227,Jon Jay,bat,Jay,Jon,5607,Jay,Jon,8717,Jay,Jon,STL,OF,JAY19850315A,445055
5231,Vin Mazzaro,pit,Mazzaro,Vin,5798,Mazzaro,Vin,8506,Mazzaro,Vin,PIT,RP,MAZZARO19860927A,476570
5235,Justin Turner,bat,Turner,Justin,5850,Turner,Justin,8588,Turner,Justin,NYM,2B/3B/SS,TURNER19841123A,457759
5247,Brett Lawrie,bat,Lawrie,Brett,6085,Lawrie,Brett,8874,Lawrie,Brett,TOR,2B/3B,LAWRIE19900118A,543434
