"Name","Team","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","SF","SH","GDP","SB","CS","GB","FB","LD","IFFB","IFH","BU","BUH","Balls","Strikes","Pitches","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","playerid"
"Brandon Harper","Nationals","30","4","4","4","4","2","1","0","1","1","3","0","0","0","0","0","0","0","4","0","0","0","0","4","10","14","75.0 %","25.0 %","0.0 %","0.0 %","0.0 %","100.0 %","2387"
"Jeff Weaver","Cardinals","29","1","1","1","1","0","1","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","3","3","6","0.0 %","100.0 %","0.0 %","0.0 %","0.0 %","100.0 %","503"
"Kyle Lohse","Reds","27","1","1","1","1","0","1","0","0","0","2","0","0","0","0","0","0","0","1","0","0","0","0","2","2","4","0.0 %","0.0 %","100.0 %","0.0 %","100.0 %","0.0 %","739"
"Brandon Duckworth","Royals","30","1","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","2","2","100.0 %","0.0 %","0.0 %","0.0 %","100.0 %","0.0 %","954"
"Dewon Brazelton","Padres","26","1","1","1","1","0","1","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","1","1","2","100.0 %","0.0 %","0.0 %","0.0 %","0.0 %","100.0 %","1195"
"Kenny Rogers","Tigers","41","1","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","3","3","0.0 %","0.0 %","100.0 %","0.0 %","0.0 %","100.0 %","1277"
"DeWayne Wise","Reds","28","2","2","2","2","0","2","0","0","0","1","0","0","0","0","0","0","0","2","0","0","0","0","4","5","9","50.0 %","50.0 %","0.0 %","0.0 %","0.0 %","100.0 %","1554"
"Robby Hammock","Diamondbacks","29","1","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","3","3","0.0 %","0.0 %","100.0 %","0.0 %","0.0 %","100.0 %","1686"
"Dan Ortmeier","Giants","25","1","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0.0 %","0.0 %","100.0 %","0.0 %","100.0 %","0.0 %","4694"
"Josh Fields","White Sox","23","1","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","2","0.0 %","0.0 %","100.0 %","0.0 %","0.0 %","100.0 %","7490"
"Brent Clevlen","Tigers","22","4","4","4","4","2","0","2","0","0","2","0","0","0","0","0","0","0","4","0","0","0","0","6","8","14","0.0 %","75.0 %","25.0 %","0.0 %","50.0 %","50.0 %","4863"
"Scott Hairston","Diamondbacks","26","2","3","3","3","1","2","0","0","0","2","0","0","0","0","0","0","0","3","0","0","0","0","4","4","8","33.3 %","66.7 %","0.0 %","0.0 %","33.3 %","66.7 %","1926"
