Y1,Y2,R
ERA,CH%,0.04
ERA,SF%,-0.07
ERA,PO%,-0.12
ERA,wFB,-0.28
ERA,wSL,-0.19
ERA,wCT,-0.23
ERA,wCB,-0.05
ERA,wCH,-0.19
ERA,wSF,-0.07
ERA,O-Swing%,-0.37
ERA,Z-Swing%,0.04
ERA,Swing%,-0.2
ERA,O-Contact%,0.16
ERA,Z-Contact%,0.32
ERA,Contact%,0.4
ERA,Zone%,0.12
ERA,F-Strike%,-0.14
ERA,SwStr%,-0.4
ERA,ERA-,0.32
ERA,FIP-,0.37
ERA,xFIP-,0.4
ERA,K%,-0.45
ERA,BB%,0.05
ERA,SIERA,0.45
ERA,RS/9,0.07
ERA,E-F,0.02
G,W,0.11
G,L,0.02
G,ERA,-0.07
G,G,0.18
G,GS,0.18
G,CG,0.03
G,ShO,-0.04
G,IP,0.19
G,TBF,0.2
G,H,0.12
G,R,0.02
G,ER,0.02
G,HR,0.04
G,BB,0.04
G,IBB,0.07
G,HBP,-0.06
G,WP,-0.01
G,BK,0.04
G,SO,0.09
G,GB,0.1
G,FB,0.05
G,LD,0.1
G,IFFB,0.03
G,Balls,0.14
G,Strikes,0.17
G,Pitches,0.18
G,RS,0.1
G,IFH,0.11
G,BU,0.08
G,BUH,0.01
G,K/9,0.03
G,BB/9,-0.02
G,K/BB,0.08
G,H/9,-0.03
G,HR/9,-0.02
G,AVG,-0.03
G,WHIP,-0.04
G,BABIP,-0.01
G,LOB%,0.07
G,FIP,-0.04
G,GB/FB,0.05
G,LD%,0
G,GB%,0.04
G,FB%,-0.04
G,IFFB%,0
G,HR/FB,0.01
G,IFH%,0.07
G,BUH%,-0.04
G,RAR,0.08
G,WAR,0.08
G,tERA,-0.04
G,xFIP,-0.05
G,WPA,0.02
G,RE24,0.07
G,REW,0.07
G,pLI,-0.01
G,inLI,-0.05
G,gmLI,0.05
G,exLI,-0.01
G,Pulls,0.12
G,WPA/LI,0.03
G,Clutch,0
G,FA%,-0.04
G,SL%,-0.01
G,CT%,0.04
G,CB%,-0.01
G,CH%,0.09
G,SF%,0.14
G,PO%,0.08
G,wFB,-0.03
G,wSL,0.08
G,wCT,-0.01
G,wCB,0
G,wCH,0.15
G,wSF,0.12
G,O-Swing%,0
G,Z-Swing%,-0.06
G,Swing%,-0.04
G,O-Contact%,-0.07
G,Z-Contact%,-0.03
G,Contact%,-0.06
G,Zone%,-0.01
G,F-Strike%,0.01
G,SwStr%,0.06
G,ERA-,-0.08
G,FIP-,-0.06
G,xFIP-,-0.08
G,K%,0.04
G,BB%,-0.02
G,SIERA,-0.04
G,RS/9,0
G,E-F,-0.05
GS,W,0.11
GS,L,0.02
GS,ERA,-0.07
GS,G,0.18
GS,GS,0.18
GS,CG,0.03
GS,ShO,-0.04
GS,IP,0.19
GS,TBF,0.2
GS,H,0.12
GS,R,0.02
GS,ER,0.02
GS,HR,0.04
GS,BB,0.04
GS,IBB,0.07
GS,HBP,-0.06
GS,WP,-0.01
GS,BK,0.04
GS,SO,0.09
GS,GB,0.1
GS,FB,0.05
GS,LD,0.1
GS,IFFB,0.03
GS,Balls,0.14
GS,Strikes,0.17
GS,Pitches,0.18
GS,RS,0.1
GS,IFH,0.11
GS,BU,0.08
GS,BUH,0.01
GS,K/9,0.03
GS,BB/9,-0.02
GS,K/BB,0.08
GS,H/9,-0.03
GS,HR/9,-0.02
GS,AVG,-0.03
GS,WHIP,-0.04
GS,BABIP,-0.01
GS,LOB%,0.07
GS,FIP,-0.04
GS,GB/FB,0.05
GS,LD%,0
GS,GB%,0.04
GS,FB%,-0.04
GS,IFFB%,0
GS,HR/FB,0.01
GS,IFH%,0.07
GS,BUH%,-0.04
GS,RAR,0.08
GS,WAR,0.08
GS,tERA,-0.04
GS,xFIP,-0.05
GS,WPA,0.02
GS,RE24,0.07
GS,REW,0.07
GS,pLI,-0.01
GS,inLI,-0.05
GS,gmLI,0.05
GS,exLI,-0.01
GS,Pulls,0.12
GS,WPA/LI,0.03
GS,Clutch,0
GS,FA%,-0.04
GS,SL%,-0.01
GS,CT%,0.04
GS,CB%,-0.01
GS,CH%,0.09
GS,SF%,0.14
GS,PO%,0.08
GS,wFB,-0.03
GS,wSL,0.08
GS,wCT,-0.01
GS,wCB,0
GS,wCH,0.15
GS,wSF,0.12
GS,O-Swing%,0
GS,Z-Swing%,-0.06
GS,Swing%,-0.04
GS,O-Contact%,-0.07
GS,Z-Contact%,-0.03
GS,Contact%,-0.06
GS,Zone%,-0.01
GS,F-Strike%,0.01
GS,SwStr%,0.06
GS,ERA-,-0.08
GS,FIP-,-0.06
GS,xFIP-,-0.08
GS,K%,0.04
GS,BB%,-0.02
GS,SIERA,-0.04
GS,RS/9,0
GS,E-F,-0.05
CG,W,0.22
CG,L,-0.06
CG,ERA,-0.17
CG,G,0.14
CG,GS,0.14
CG,CG,0.37
CG,ShO,0.2
CG,IP,0.35
CG,TBF,0.33
CG,H,0.22
CG,R,0
CG,ER,-0.03
CG,HR,-0.09
CG,BB,-0.14
CG,IBB,-0.03
CG,HBP,0.07
CG,WP,-0.08
CG,BK,-0.04
CG,SO,0.23
CG,GB,0.27
CG,FB,-0.06
CG,LD,0.17
CG,IFFB,-0.07
CG,Balls,0.06
CG,Strikes,0.3
CG,Pitches,0.23
CG,RS,0.18
CG,IFH,0.19
CG,BU,0.05
CG,BUH,0.05
CG,K/9,0.12
CG,BB/9,-0.24
CG,K/BB,0.32
CG,H/9,-0.05
CG,HR/9,-0.18
CG,AVG,-0.05
CG,WHIP,-0.18
CG,BABIP,0.09
CG,LOB%,0.03
CG,FIP,-0.26
CG,GB/FB,0.17
CG,LD%,0
CG,GB%,0.19
CG,FB%,-0.19
CG,IFFB%,-0.04
CG,HR/FB,-0.05
CG,IFH%,0.04
CG,BUH%,0.02
CG,RAR,0.32
CG,WAR,0.33
CG,tERA,-0.22
CG,xFIP,-0.28
CG,WPA,0.17
CG,RE24,0.17
CG,REW,0.17
CG,pLI,0.11
