Y1,Y2,R
BB%,BB%,0.78
BB%,K%,0.26
BB%,GB/FB,-0.23
BB%,LD%,0.02
BB%,GB%,-0.27
BB%,FB%,0.24
BB%,IFFB%,-0.13
BB%,HR/FB,0.4
BB%,IFH,-0.23
BB%,IFH%,-0.19
BB%,BUH,-0.18
BB%,BUH%,-0.07
BB%,O-Swing%,-0.49
BB%,Z-Swing%,-0.17
BB%,Swing%,-0.51
BB%,O-Contact%,-0.24
BB%,Z-Contact%,-0.25
BB%,Contact%,-0.19
BB%,Zone%,-0.37
BB%,F-Strike%,-0.52
BB%,SwStr%,0
K%,AVG,-0.3
K%,OBP,-0.01
K%,SLG,0.22
K%,OPS,0.15
K%,ISO,0.4
K%,BABIP,0.06
K%,wOBA,0.13
K%,BB%,0.26
K%,K%,0.85
K%,GB/FB,0.14
K%,LD%,0.09
K%,GB%,0.13
K%,FB%,-0.16
K%,IFFB%,-0.2
K%,HR/FB,0.03
K%,IFH,0.22
K%,IFH%,0.05
K%,BUH,0
K%,BUH%,0
K%,O-Swing%,0.04
K%,Z-Swing%,0.08
K%,Swing%,0.05
K%,O-Contact%,0.22
K%,Z-Contact%,0.22
K%,Contact%,0.22
K%,Zone%,-0.09
K%,F-Strike%,-0.1
K%,SwStr%,-0.19
GB/FB,AVG,0.18
GB/FB,OBP,-0.04
GB/FB,SLG,-0.3
GB/FB,OPS,-0.23
GB/FB,ISO,-0.45
GB/FB,BABIP,0.25
GB/FB,wOBA,-0.19
GB/FB,BB%,-0.23
GB/FB,K%,-0.28
GB/FB,GB/FB,0.77
GB/FB,LD%,0.05
GB/FB,GB%,0.73
GB/FB,FB%,-0.72
GB/FB,IFFB%,-0.21
GB/FB,HR/FB,-0.32
GB/FB,IFH,0.41
GB/FB,IFH%,0.19
GB/FB,BUH,0.35
GB/FB,BUH%,0.13
GB/FB,O-Swing%,-0.02
GB/FB,Z-Swing%,-0.14
GB/FB,Swing%,-0.03
GB/FB,O-Contact%,0.24
GB/FB,Z-Contact%,0.29
GB/FB,Contact%,0.3
GB/FB,Zone%,0.24
GB/FB,F-Strike%,0.12
GB/FB,SwStr%,-0.25
LD%,AVG,0.15
LD%,OBP,0.12
LD%,SLG,0.02
LD%,OPS,0.06
LD%,ISO,-0.05
LD%,BABIP,0.15
LD%,wOBA,0.06
LD%,BB%,0.03
LD%,K%,-0.09
LD%,GB/FB,-0.02
LD%,LD%,0.22
LD%,GB%,-0.05
LD%,FB%,-0.05
LD%,IFFB%,-0.17
LD%,HR/FB,-0.07
LD%,IFH,-0.01
LD%,IFH%,-0.05
LD%,BUH,0
LD%,BUH%,0.01
LD%,O-Swing%,-0.19
LD%,Z-Swing%,0.05
LD%,Swing%,-0.03
LD%,O-Contact%,0.05
LD%,Z-Contact%,0.06
LD%,Contact%,0.12
LD%,Zone%,0.17
LD%,F-Strike%,-0.04
LD%,SwStr%,-0.11
GB%,AVG,0.16
GB%,OBP,-0.08
GB%,SLG,-0.31
GB%,OPS,-0.25
GB%,ISO,-0.44
GB%,BABIP,0.22
GB%,wOBA,-0.21
GB%,BB%,-0.27
GB%,K%,-0.27
GB%,GB/FB,0.74
GB%,LD%,0
GB%,GB%,0.76
GB%,FB%,-0.73
GB%,IFFB%,-0.16
GB%,HR/FB,-0.3
GB%,IFH,0.38
GB%,IFH%,0.18
GB%,BUH,0.31
GB%,BUH%,0.12
GB%,O-Swing%,0.05
GB%,Z-Swing%,-0.12
GB%,Swing%,0.02
GB%,O-Contact%,0.22
GB%,Z-Contact%,0.27
GB%,Contact%,0.26
GB%,Zone%,0.19
GB%,F-Strike%,0.15
GB%,SwStr%,-0.21
FB%,AVG,-0.22
FB%,OBP,0.03
FB%,SLG,0.29
FB%,OPS,0.22
FB%,ISO,0.45
FB%,BABIP,-0.28
FB%,wOBA,0.18
FB%,BB%,0.25
FB%,K%,0.3
FB%,GB/FB,-0.71
FB%,LD%,-0.1
FB%,GB%,-0.71
FB%,FB%,0.73
FB%,IFFB%,0.23
FB%,HR/FB,0.33
FB%,IFH,-0.36
FB%,IFH%,-0.15
FB%,BUH,-0.3
FB%,BUH%,-0.12
FB%,O-Swing%,0.03
FB%,Z-Swing%,0.09
FB%,Swing%,0
FB%,O-Contact%,-0.23
FB%,Z-Contact%,-0.29
FB%,Contact%,-0.31
FB%,Zone%,-0.26
FB%,F-Strike%,-0.13
FB%,SwStr%,0.25
IFFB%,AVG,-0.17
IFFB%,OBP,-0.21
IFFB%,SLG,-0.07
IFFB%,OPS,-0.13
IFFB%,ISO,-0.01
IFFB%,BABIP,-0.29
IFFB%,wOBA,-0.15
IFFB%,BB%,-0.15
IFFB%,K%,-0.11
IFFB%,GB/FB,-0.15
IFFB%,LD%,-0.16
IFFB%,GB%,-0.11
IFFB%,FB%,0.17
IFFB%,IFFB%,0.56
IFFB%,HR/FB,-0.05
IFFB%,IFH,0.07
IFFB%,IFH%,0.15
IFFB%,BUH,0.07
IFFB%,BUH%,0.01
IFFB%,O-Swing%,0.05
IFFB%,Z-Swing%,0.01
IFFB%,Swing%,0.08
IFFB%,O-Contact%,0
IFFB%,Z-Contact%,0.07
IFFB%,Contact%,0.05
IFFB%,Zone%,0.16
IFFB%,F-Strike%,0.09
IFFB%,SwStr%,-0.01
HR/FB,AVG,0.03
HR/FB,OBP,0.31
HR/FB,SLG,0.57
HR/FB,OPS,0.52
HR/FB,ISO,0.68
HR/FB,BABIP,0.04
HR/FB,wOBA,0.48
HR/FB,BB%,0.42
HR/FB,K%,0.5
HR/FB,GB/FB,-0.32
HR/FB,LD%,-0.16
HR/FB,GB%,-0.29
HR/FB,FB%,0.35
HR/FB,IFFB%,-0.04
HR/FB,HR/FB,0.73
HR/FB,IFH,-0.18
HR/FB,IFH%,-0.13
HR/FB,BUH,-0.34
HR/FB,BUH%,-0.13
HR/FB,O-Swing%,0
HR/FB,Z-Swing%,0.3
HR/FB,Swing%,0.05
HR/FB,O-Contact%,-0.54
HR/FB,Z-Contact%,-0.6
HR/FB,Contact%,-0.63
