"Name","Team","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","SF","SH","GDP","SB","CS","GB","FB","LD","IFFB","IFH","BU","BUH","Balls","Strikes","Pitches","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","playerid"
"Jon Rauch","Expos","25","1","1","1","1","0","0","0","1","1","2","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0.0 %","0.0 %","100.0 %","0.0 %","0.0 %","100.0 %","1475"
"Jason Davis","Indians","24","1","1","1","1","0","0","0","1","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","100.0 %","0.0 %","0.0 %","0.0 %","0.0 %","100.0 %","1598"
"Jason Ellison","Giants","26","1","1","1","1","0","0","0","1","1","2","0","0","0","0","0","0","1","0","0","0","0","0","1","3","4","100.0 %","0.0 %","0.0 %","0.0 %","0.0 %","100.0 %","1704"
"Carlos Zambrano","Cubs","23","2","2","2","2","1","0","0","1","1","1","0","0","0","0","0","0","2","0","0","0","0","0","4","3","7","0.0 %","100.0 %","0.0 %","50.0 %","0.0 %","50.0 %","305"
"Andres Galarraga","Angels","43","2","2","2","2","1","0","0","1","1","2","0","0","0","0","0","0","2","0","0","0","0","0","0","4","4","0.0 %","100.0 %","0.0 %","50.0 %","0.0 %","50.0 %","1390"
"Brandon Backe","Astros","26","2","2","2","2","1","0","0","1","1","4","0","0","0","0","0","0","2","0","0","0","0","0","1","6","7","0.0 %","50.0 %","50.0 %","0.0 %","50.0 %","50.0 %","1529"
"Derek Lowe","Red Sox","31","1","1","1","1","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","100.0 %","0.0 %","0.0 %","0.0 %","100.0 %","0.0 %","199"
"Javier Vazquez","Yankees","27","1","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","2","3","0.0 %","100.0 %","0.0 %","0.0 %","100.0 %","0.0 %","801"
"Kevin Correia","Giants","23","1","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","2","3","0.0 %","0.0 %","100.0 %","0.0 %","0.0 %","100.0 %","1767"
"Hideo Nomo","Dodgers","35","2","2","2","1","0","0","0","1","1","1","0","0","0","0","0","0","2","0","1","0","0","0","4","6","10","100.0 %","0.0 %","0.0 %","50.0 %","0.0 %","50.0 %","666"
"Andy Phillips","Yankees","27","2","2","2","1","0","0","0","1","1","2","0","0","0","0","0","0","2","0","0","0","0","0","1","2","3","100.0 %","0.0 %","0.0 %","0.0 %","0.0 %","100.0 %","2075"
"Calvin Pickering","Royals","27","18","21","23","13","2","4","0","7","7","18","2","0","0","0","0","0","23","0","0","0","0","0","36","68","104","8.7 %","56.5 %","34.8 %","13.0 %","39.1 %","47.8 %","208"
"Josh Bard","Indians","26","4","4","5","3","0","2","0","1","1","4","1","0","0","0","0","0","5","0","0","0","0","0","5","7","12","20.0 %","40.0 %","40.0 %","0.0 %","60.0 %","40.0 %","1578"
"Ernie Young","Indians","34","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","3","3","6","0.0 %","0.0 %","100.0 %","0.0 %","100.0 %","0.0 %","79"
"Joey Eischen","Expos","34","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","2","2","4","0.0 %","100.0 %","0.0 %","0.0 %","100.0 %","0.0 %","774"
"Dennis Tankersley","Padres","25","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0.0 %","0.0 %","100.0 %","0.0 %","100.0 %","0.0 %","1054"
"Mark Hendrickson","Devil Rays","30","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","2","3","0.0 %","100.0 %","0.0 %","100.0 %","0.0 %","0.0 %","1574"
"Dallas McPherson","Angels","23","7","9","9","4","0","1","0","3","3","5","0","0","0","0","0","0","9","0","0","0","0","0","13","21","34","11.1 %","22.2 %","66.7 %","11.1 %","33.3 %","55.6 %","2194"
"Ryan Howard","Phillies","24","8","10","10","5","1","2","0","2","2","4","0","0","0","0","0","0","10","0","0","0","0","0","14","25","39","10.0 %","20.0 %","70.0 %","0.0 %","50.0 %","50.0 %","2154"
"Humberto Cota","Pirates","25","13","19","19","8","1","1","1","5","5","6","0","0","0","0","0","0","19","0","3","0","0","0","23","45","68","57.9 %","31.6 %","10.5 %","26.3 %","42.1 %","31.6 %","1595"
"Jose Hernandez","Dodgers","34","39","55","55","24","4","6","1","13","13","23","0","0","0","0","0","0","55","0","3","0","0","0","63","115","178","18.2 %","43.6 %","38.2 %","7.3 %","47.3 %","45.5 %","688"
"Tony Clark","Yankees","32","38","51","53","21","1","5","0","15","15","28","2","0","0","0","0","0","53","0","8","0","0","0","61","124","185","17.0 %","37.7 %","45.3 %","11.3 %","43.4 %","45.3 %","182"
"Glendon Rusch","Cubs","29","6","7","7","3","1","0","0","2","2","2","0","0","0","0","0","0","7","0","0","0","0","0","5","13","18","28.6 %","28.6 %","42.9 %","0.0 %","28.6 %","71.4 %","707"
"Barry Bonds","Giants","39","102","153","156","61","5","9","2","45","45","79","3","0","0","0","0","0","156","0","22","0","0","0","192","315","507","28.2 %","35.3 %","36.5 %","11.5 %","41.0 %","47.4 %","1109"
"Wily Mo Pena","Reds","22","55","72","72","28","2","5","0","21","21","34","0","0","0","0","0","0","72","0","9","0","0","0","73","137","210","26.4 %","38.9 %","34.7 %","11.1 %","45.8 %","43.1 %","344"
"Jim Edmonds","Cardinals","34","104","151","159","62","1","19","2","40","40","78","8","0","0","0","0","0","159","0","6","0","0","0","190","371","561","27.7 %","34.6 %","37.7 %","5.7 %","46.5 %","47.8 %","1153"
"Bobby Estalella","- - -","29","4","6","6","2","0","0","0","2","2","4","0","0","0","0","0","0","6","0","0","0","0","0","9","17","26","50.0 %","33.3 %","16.7 %","0.0 %","33.3 %","66.7 %","428"
"John Van Benschoten","Pirates","24","3","3","3","1","0","0","0","1","1","2","0","0","0","0","0","0","3","0","0","0","0","0","6","8","14","0.0 %","66.7 %","33.3 %","0.0 %","66.7 %","33.3 %","2228"
"Adam Hyzdu","Red Sox","32","5","5","5","2","0","1","0","1","1","1","0","0","0","0","0","0","5","0","1","0","0","0","6","11","17","80.0 %","20.0 %","0.0 %","0.0 %","60.0 %","40.0 %","1543"
"Todd Hollandsworth","Cubs","31","28","34","34","14","2","4","2","6","6","13","0","0","0","0","0","0","33","0","7","0","0","0","25","63","88","38.2 %","23.5 %","38.2 %","11.8 %","55.9 %","32.4 %","433"
"Elmer Dessens","- - -","33","2","2","2","1","0","1","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","3","3","50.0 %","50.0 %","0.0 %","0.0 %","50.0 %","50.0 %","317"
"Jeff Weaver","Dodgers","27","2","2","2","1","0","1","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","3","2","5","0.0 %","50.0 %","50.0 %","0.0 %","50.0 %","50.0 %","503"
"Rob Bell","Devil Rays","27","2","2","2","1","0","1","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","3","4","7","0.0 %","50.0 %","50.0 %","0.0 %","50.0 %","50.0 %","1492"
"Stephen Randolph","Diamondbacks","30","4","4","4","2","0","2","0","0","0","2","0","0","0","0","0","0","4","0","0","0","0","0","7","13","20","25.0 %","75.0 %","0.0 %","0.0 %","50.0 %","50.0 %","1655"
"Curtis Pride","Angels","35","6","6","6","3","0","3","0","0","0","2","0","0","0","0","0","0","6","0","1","0","0","0","2","8","10","16.7 %","33.3 %","50.0 %","16.7 %","33.3 %","50.0 %","1762"
"Sergio Mitre","Cubs","23","2","2","2","1","0","1","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","3","5","8","100.0 %","0.0 %","0.0 %","0.0 %","50.0 %","50.0 %","1773"
"Casey Daigle","Diamondbacks","23","2","2","2","1","0","1","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","2","5","7","0.0 %","0.0 %","100.0 %","0.0 %","0.0 %","100.0 %","1880"
"Andy Tracy","Rockies","30","2","2","2","1","0","1","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","1","4","5","100.0 %","0.0 %","0.0 %","0.0 %","50.0 %","50.0 %","2024"
"Adam Dunn","Reds","24","108","176","176","63","4","16","0","43","43","78","0","0","0","0","0","0","176","0","19","0","0","0","233","394","627","35.2 %","29.6 %","35.2 %","9.1 %","51.7 %","39.2 %","319"
"Bucky Jacobsen","Mariners","28","30","42","42","16","2","5","0","9","9","17","0","0","0","0","0","0","42","0","2","0","0","0","41","94","135","28.6 %","42.9 %","28.6 %","4.8 %","47.6 %","47.6 %","2368"
"Jim Thome","Phillies","33","105","159","163","57","9","8","1","39","39","74","4","0","0","0","0","0","163","0","12","0","0","0","189","343","532","21.5 %","35.6 %","42.9 %","14.2 %","44.4 %","41.4 %","409"
"Jason Bay","Pirates","25","82","119","124","45","5","12","3","25","25","53","5","0","0","0","0","0","124","0","7","0","0","0","155","290","445","32.3 %","31.5 %","36.3 %","8.9 %","55.7 %","35.5 %","1717"
"Manny Ramirez","Red Sox","32","117","177","184","65","8","15","0","42","42","90","7","0","0","0","0","0","184","0","10","0","0","0","196","401","597","26.1 %","26.1 %","47.8 %","4.9 %","50.5 %","44.6 %","210"
"Mark Teixeira","Rangers","24","106","165","167","57","7","11","1","38","38","76","2","0","0","0","0","0","167","0","13","0","0","0","195","353","548","38.9 %","28.7 %","32.3 %","11.4 %","47.3 %","41.3 %","1281"
"Adrian Beltre","Dodgers","25","123","197","200","68","11","11","0","46","46","87","3","0","0","0","0","0","200","0","29","0","0","0","214","453","667","22.5 %","31.5 %","46.0 %","17.5 %","45.0 %","37.5 %","639"
"Eric Crozier","Blue Jays","25","7","7","7","2","0","0","0","2","2","3","0","0","0","0","0","0","7","0","0","0","0","0","7","18","25","57.1 %","28.6 %","14.3 %","0.0 %","85.7 %","14.3 %","3011"
"Victor Diaz","Mets","22","5","7","7","2","0","0","0","2","2","4","0","0","0","0","0","0","7","0","1","0","0","0","6","13","19","14.3 %","57.1 %","28.6 %","42.9 %","28.6 %","28.6 %","3424"
"Troy Glaus","Angels","27","40","67","68","21","1","3","0","17","17","29","1","0","0","0","0","0","68","0","8","0","0","0","91","153","244","27.9 %","38.2 %","33.8 %","11.8 %","45.6 %","42.7 %","15"
"Andy Machado","Reds","23","5","5","5","2","0","1","1","0","0","2","0","0","0","0","0","0","5","0","0","0","0","0","8","10","18","60.0 %","20.0 %","20.0 %","20.0 %","40.0 %","40.0 %","1853"
