name,fg_id,fans_g,fans_pa,fans_ab,fans_b1,fans_b2,fans_b3,fans_hr,fans_r,fans_rbi,fans_sb,fans_cs,zips_g,zips_pa,zips_ab,zips_b1,zips_b2,zips_b3,zips_hr,zips_r,zips_rbi,zips_sb,zips_cs,stmr_g,stmr_pa,stmr_ab,stmr_b1,stmr_b2,stmr_b3,stmr_hr,stmr_r,stmr_rbi,stmr_sb,stmr_cs,cair_g,cair_pa,cair_ab,cair_b1,cair_b2,cair_b3,cair_hr,cair_r,cair_rbi,cair_sb,cair_cs,f411_g,f411_pa,f411_ab,f411_b1,f411_b2,f411_b3,f411_hr,f411_r,f411_rbi,f411_sb,f411_cs,real_g,real_pa,real_ab,real_b1,real_b2,real_b3,real_hr,real_r,real_rbi,real_sb,real_cs
Adrian Gonzalez,1908,0.231927711,664,0.897590361,0.165662651,0.064759036,0.001506024,0.034638554,0.13253012,0.15813253,0.004518072,0,0.23019432,669,0.889387145,0.164424514,0.049327354,0.001494768,0.038863976,0.116591928,0.14200299,0.001494768,0,,641,0.878315133,0.160686427,0.053042122,0.001560062,0.042121685,0.132605304,0.149765991,0.001560062,0.001560062,0.229681723,689.65,0.88377871,0.163502107,0.050479167,0.001700845,0.039837052,0.128744592,0.149435969,0.002874515,0.000743097,0.237281573,669.2470813,0.889402995,0.167678581,0.055919051,0.001722165,0.038143405,0.127021653,0.132338358,0.001865142,0.000400529,0.244929797,641,0.909516381,0.182527301,0.049921997,0,0.034321373,0.107644306,0.15600624,0.001560062,0
Val Pascucci,1915,,,,,,,,,,,,,,,,,,,,,,,,100,0.87,0.1,0.04,0,0.03,0.1,0.09,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scott Hairston,1926,0.242971888,498,0.911646586,0.152610442,0.042168675,0.004016064,0.032128514,0.104417671,0.114457831,0.008032129,0.002008032,0.342679128,321,0.925233645,0.133956386,0.056074766,0.00623053,0.037383178,0.124610592,0.133956386,0.015576324,0.00623053,,381,0.910761155,0.131233596,0.052493438,0.005249344,0.041994751,0.115485564,0.133858268,0.01312336,0.007874016,0.322063134,356.9175976,0.917824597,0.133562143,0.052826135,0.005025247,0.040934711,0.114083848,0.138244511,0.016740848,0.005218227,0.366846502,306.168019,0.917700943,0.126247743,0.054855347,0.005622766,0.042300407,0.120789406,0.142341332,0.01648608,0.005357435,0.488505747,174,0.902298851,0.086206897,0.028735632,0,0.057471264,0.103448276,0.149425287,0.011494253,0
Casey Kotchman,1930,,,,,,,,,,,,0.275100402,498,0.907630522,0.178714859,0.040160643,0.002008032,0.022088353,0.09437751,0.116465863,0.004016064,0.002008032,,345,0.895652174,0.15942029,0.043478261,0.002898551,0.023188406,0.092753623,0.104347826,0.005797101,0.002898551,0.26929464,446.4088744,0.905447675,0.170271289,0.037659337,0.002123313,0.020229086,0.084623384,0.109329713,0.00485825,0.001762102,0.244023451,389.7484372,0.897589026,0.166911805,0.04142692,0.002163127,0.021349075,0.090692034,0.085317169,0.004223483,0.002121008,0.285714286,21,0.952380952,0,0,0,0,0,0.047619048,0,0
Kevin Youkilis,1935,0.240847784,519,0.855491329,0.134874759,0.044315992,0.005780347,0.034682081,0.131021195,0.140655106,0.001926782,0,0.235789474,475,0.848421053,0.128421053,0.042105263,0.004210526,0.042105263,0.132631579,0.132631579,0.004210526,0.002105263,,412,0.854368932,0.131067961,0.046116505,0.004854369,0.036407767,0.123786408,0.123786408,0.002427184,0.002427184,0.235406468,454.8259298,0.850822405,0.124885591,0.040733175,0.003628833,0.040115852,0.154708749,0.125602351,0.005651623,0.002295903,0.242092938,472.3653775,0.85341137,0.132615323,0.044086989,0.004151797,0.037777055,0.140858239,0.122911689,0.003465644,0.001068908,0.237288136,118,0.889830508,0.118644068,0.059322034,0,0.016949153,0.101694915,0.06779661,0,0
Cory Sullivan,1940,,,,,,,,,,,,,,,,,,,,,,,,100,0.88,0.16,0.04,0,0.01,0.09,0.09,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corey Hart,1945,0.238267148,554,0.911552347,0.14801444,0.050541516,0.005415162,0.046931408,0.146209386,0.146209386,0.009025271,0.003610108,0.239388795,589,0.903225806,0.137521222,0.050933786,0.005093379,0.045840407,0.132427844,0.13582343,0.010186757,0.005093379,,462,0.893939394,0.136363636,0.04978355,0.004329004,0.041125541,0.121212121,0.138528139,0.006493506,0.004329004,0.238724243,483.7542653,0.900926528,0.13884213,0.053161261,0.005956101,0.045504759,0.146990882,0.126787708,0.010743226,0.006188954,0.250387668,542.4706336,0.905173887,0.139346836,0.053462594,0.006079446,0.046659322,0.140432941,0.151127395,0.010064523,0.004791644,,,,,,,,,,,
Desmond Jennings,1965,0.21810089,674,0.885756677,0.158753709,0.040059347,0.011869436,0.025222552,0.146884273,0.097922849,0.056379822,0.007418398,0.235478807,637,0.89010989,0.153846154,0.039246468,0.010989011,0.020408163,0.147566719,0.081632653,0.053375196,0.007849294,,670,0.882089552,0.144776119,0.040298507,0.010447761,0.02238806,0.131343284,0.088059701,0.046268657,0.013432836,0.238724447,561.1670163,0.891266593,0.148399003,0.039348365,0.009775443,0.019598232,0.141725578,0.084026942,0.052189099,0.008509831,0.212117277,582.9546924,0.883758172,0.148528447,0.038364141,0.011337961,0.023071756,0.144339128,0.093482253,0.055628131,0.008877274,0.23089701,602,0.875415282,0.136212625,0.051495017,0.009966777,0.023255814,0.136212625,0.089700997,0.033222591,0.013289037
Robinson Cancel,2011,,,,,,,,,,,,,,,,,,,,,,,,100,0.91,0.16,0.05,0,0.02,0.1,0.09,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brad Emaus,2020,,,,,,,,,,,,,,,,,,,,,,,,100,0.89,0.14,0.05,0,0.02,0.1,0.09,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
