"Name","Team","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","SF","SH","GDP","SB","CS","GB","FB","LD","IFFB","IFH","BU","BUH","Balls","Strikes","Pitches","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","playerid"
"Nook Logan","Tigers","25","78","127","127","37","33","4","0","0","0","4","0","0","5","0","0","127","0","0","0","15","0","0","128","283","411","59.1 %","28.4 %","12.6 %","20.5 %","67.7 %","11.8 %","2076"
"David DeJesus","Royals","25","95","175","175","50","43","6","1","0","0","18","0","0","6","0","0","175","0","0","0","7","0","0","192","404","596","41.1 %","29.7 %","29.1 %","11.4 %","65.1 %","23.4 %","1825"
"Jose Vizcaino","Astros","37","46","68","68","19","16","2","1","0","0","9","0","0","2","0","0","68","0","0","0","7","0","0","58","137","195","55.9 %","22.1 %","22.1 %","16.2 %","67.7 %","16.2 %","577"
"Angel Chavez","Giants","23","5","10","10","3","3","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","10","27","37","30.0 %","60.0 %","10.0 %","0.0 %","80.0 %","20.0 %","2224"
"Joey Gathright","Devil Rays","24","54","109","109","32","31","1","0","0","0","9","0","0","5","0","0","109","0","0","0","13","0","0","138","277","415","26.6 %","40.4 %","33.0 %","21.3 %","68.5 %","10.2 %","3913"
"Brian Jordan","Braves","38","54","97","97","28","26","2","0","0","0","5","0","0","5","0","0","97","0","0","0","13","0","0","94","206","300","58.8 %","28.9 %","12.4 %","21.7 %","55.7 %","22.7 %","658"
"Albert Pujols","Cardinals","25","133","221","221","64","60","4","0","0","0","20","0","0","19","0","0","221","0","0","0","11","0","0","281","517","798","62.4 %","26.2 %","11.3 %","13.1 %","56.1 %","30.8 %","1177"
"Jason Bartlett","Twins","25","53","87","87","25","23","2","0","0","0","6","0","0","6","0","0","87","0","0","0","10","0","0","96","217","313","55.2 %","26.4 %","18.4 %","10.3 %","73.6 %","16.1 %","8219"
"Denny Hocking","Royals","35","17","27","27","8","8","0","0","0","0","6","0","0","1","0","0","27","0","0","0","1","0","0","44","74","118","40.7 %","37.0 %","22.2 %","11.1 %","70.4 %","18.5 %","730"
"Wily Mo Pena","Reds","23","60","92","92","26","23","3","0","0","0","7","0","0","7","0","0","92","0","0","0","6","0","0","104","194","298","54.4 %","33.7 %","12.0 %","13.0 %","67.4 %","19.6 %","344"
"Ramon Castro","Mets","29","44","55","55","15","12","3","0","0","0","10","0","0","7","0","0","55","0","0","0","2","0","0","68","124","192","67.3 %","23.6 %","9.1 %","23.6 %","58.2 %","18.2 %","514"
"Chris Burke","Astros","25","61","97","97","27","24","2","1","0","0","2","0","0","7","0","0","97","0","0","0","8","0","0","124","241","365","52.6 %","33.0 %","14.4 %","17.5 %","62.9 %","19.6 %","2164"
"Brayan Pena","Braves","23","9","17","17","5","5","0","0","0","0","1","0","0","1","0","0","17","0","0","0","1","0","0","17","44","61","58.8 %","29.4 %","11.8 %","11.8 %","47.1 %","41.2 %","3231"
"Gary Sheffield","Yankees","36","124","215","215","62","59","3","0","0","0","19","0","0","11","0","0","215","0","0","0","18","0","0","290","518","808","66.1 %","26.1 %","7.9 %","21.9 %","50.2 %","27.9 %","114"
"Mark Grudzielanek","Cardinals","35","117","211","211","60","55","5","0","0","0","17","0","0","14","0","0","211","0","0","0","21","0","0","219","483","702","52.1 %","28.4 %","19.4 %","16.1 %","65.4 %","18.5 %","653"
"Felipe Lopez","Reds","25","123","250","250","70","63","6","1","0","0","20","0","0","8","0","0","250","0","0","0","25","0","0","313","601","914","42.0 %","33.2 %","24.8 %","15.6 %","62.4 %","22.0 %","1311"
"Wilson Betemit","Braves","23","60","93","93","26","23","3","0","0","0","5","0","0","5","0","0","93","0","0","0","4","0","0","114","210","324","58.1 %","29.0 %","12.9 %","12.9 %","53.8 %","33.3 %","1861"
"J.T. Snow","Giants","37","74","119","119","34","32","2","0","0","0","13","0","0","6","0","0","119","0","0","0","1","0","0","139","249","388","64.7 %","31.1 %","4.2 %","6.7 %","58.0 %","35.3 %","1133"
"Johnny Damon","Red Sox","31","129","249","249","71","67","4","0","0","0","21","0","0","5","0","0","249","0","0","0","35","0","0","279","609","888","45.8 %","26.5 %","27.7 %","22.9 %","61.0 %","16.1 %","185"
"Sean Casey","Reds","30","116","251","251","71","66","5","0","0","0","20","0","0","27","0","0","251","0","0","0","5","0","0","269","570","839","49.8 %","32.3 %","17.9 %","10.8 %","67.3 %","21.9 %","314"
"Ronnie Belliard","Indians","30","122","207","207","59","56","3","0","0","0","11","0","0","17","0","0","207","0","0","0","18","0","0","206","462","668","50.7 %","28.0 %","21.3 %","14.5 %","62.3 %","23.2 %","677"
"Jay Gibbons","Orioles","28","104","159","159","44","39","5","0","0","0","12","0","0","15","0","0","159","0","0","0","5","0","0","158","371","529","59.8 %","27.0 %","13.2 %","18.2 %","59.1 %","22.6 %","141"
"Bubba Crosby","Yankees","28","26","38","38","11","11","0","0","0","0","2","0","0","1","0","0","38","0","0","0","2","0","0","24","74","98","60.5 %","18.4 %","21.1 %","21.1 %","60.5 %","18.4 %","1722"
"Larry Walker","Cardinals","38","74","135","135","37","32","5","0","0","0","13","0","0","9","0","0","135","0","0","0","11","0","0","140","261","401","62.2 %","26.7 %","11.1 %","22.2 %","57.0 %","20.7 %","455"
"Joe McEwing","Royals","32","42","61","61","16","12","4","0","0","0","3","0","0","5","0","0","61","0","0","0","3","0","0","69","156","225","55.7 %","27.9 %","16.4 %","19.7 %","67.2 %","13.1 %","887"
"Rafael Furcal","Braves","27","130","236","236","65","58","7","0","0","0","12","0","0","11","0","0","236","0","0","0","20","0","0","294","573","867","52.1 %","28.4 %","19.5 %","17.8 %","60.6 %","21.6 %","88"
"Ichiro Suzuki","Mariners","31","148","328","328","89","79","7","3","0","0","14","0","0","5","0","0","328","0","0","0","31","0","0","378","782","1160","46.0 %","28.7 %","25.3 %","17.1 %","63.1 %","19.8 %","1101"
"Juan Encarnacion","Marlins","29","98","152","152","42","38","4","0","0","0","8","0","0","9","0","0","152","0","0","0","10","0","0","151","371","522","60.5 %","23.7 %","15.8 %","19.7 %","56.6 %","23.7 %","320"
"Jose Reyes","Mets","22","138","282","282","76","67","6","3","0","0","21","0","0","7","0","0","282","0","0","0","30","0","0","290","692","982","48.6 %","31.6 %","19.9 %","24.5 %","58.2 %","17.4 %","1736"
"Randy Wolf","Phillies","28","7","7","7","2","2","0","0","0","0","1","0","0","0","0","0","7","0","0","0","0","0","0","8","16","24","42.9 %","57.1 %","0.0 %","14.3 %","71.4 %","14.3 %","976"
"Tony Torcato","Giants","25","6","7","7","2","2","0","0","0","0","0","0","0","2","0","0","7","0","0","0","2","0","0","9","16","25","57.1 %","14.3 %","28.6 %","14.3 %","71.4 %","14.3 %","1134"
"Jason Tyner","Twins","28","14","28","28","8","8","0","0","0","0","2","0","0","2","0","0","28","0","0","0","2","0","0","25","69","94","28.6 %","28.6 %","42.9 %","10.7 %","75.0 %","14.3 %","1232"
"Adam Shabala","Giants","27","4","7","7","2","2","0","0","0","0","1","0","0","1","0","0","7","0","0","0","0","0","0","5","11","16","57.1 %","42.9 %","0.0 %","14.3 %","42.9 %","42.9 %","2954"
"Dan Ortmeier","Giants","24","5","7","7","2","2","0","0","0","0","0","0","0","2","0","0","7","0","0","0","0","0","0","2","13","15","57.1 %","28.6 %","14.3 %","14.3 %","85.7 %","0.0 %","4694"
"Carlos Pena","Tigers","27","49","61","61","17","16","1","0","0","0","7","0","0","3","0","0","61","0","0","0","4","0","0","58","127","185","77.1 %","21.3 %","1.6 %","11.5 %","60.7 %","27.9 %","934"
"Matt Holliday","Rockies","25","104","193","193","53","48","5","0","0","0","13","0","0","11","0","0","193","0","0","0","10","0","0","188","435","623","49.2 %","33.2 %","17.6 %","8.8 %","65.8 %","25.4 %","1873"
"Travis Hafner","Indians","28","98","158","158","43","38","5","0","0","0","16","0","0","9","0","0","158","0","0","0","7","0","0","202","362","564","58.9 %","25.3 %","15.8 %","12.0 %","59.5 %","28.5 %","1573"
"Torii Hunter","Twins","29","81","151","151","41","36","5","0","0","0","17","0","0","8","0","0","151","0","0","0","9","0","0","153","333","486","50.3 %","31.1 %","18.5 %","14.6 %","65.6 %","19.9 %","731"
