"Name","Team","W","L","ERA","GS","G","SV","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","RA9-WAR","playerid"
"Patrick Schuster","Diamondbacks","0","0","3.92","0","1","0","1.0","1","0","0","1","0","1.38","8.48","4.35","4.04","0.0","0.1","sa501734"
"Brad Penny","Marlins","0","0","4.24","0","0","0","1.0","1","0","0","1","0","1.36","6.26","2.91","4.04","0.0","0.0","535"
"Miguel Batista","Braves","0","0","4.12","0","1","0","1.0","1","0","0","1","0","1.35","7.18","3.25","4.04","0.0","0.1","46"
"Jarred Cosart","Marlins","6","7","4.19","18","18","0","104.0","106","48","8","75","45","1.44","6.46","3.85","4.04","0.7","0.5","10304"
"Mayckol Guaipe","Mariners","0","0","3.94","0","10","0","10.0","10","4","1","8","3","1.30","7.33","3.03","4.04","0.0","0.0","sa504801"
"Colton Murray","Phillies","0","0","4.09","0","1","0","1.0","1","0","0","1","0","1.36","8.24","3.86","4.04","0.0","0.1","sa578045"
"Gary Moran","Braves","0","0","4.12","0","0","0","1.0","1","0","0","1","0","1.32","6.71","2.61","4.04","0.0","0.0","sa503366"
"Jim Hoey","Twins","0","0","4.18","0","1","0","1.0","1","0","0","1","0","1.40","7.87","3.86","4.04","0.0","-0.1","6007"
"Blake Johnson","Dodgers","0","0","3.97","0","0","0","1.0","1","0","0","1","0","1.29","7.13","2.81","4.04","0.0","0.0","sa253230"
"Brendan Wise","Twins","0","0","4.19","0","1","0","1.0","1","0","0","1","0","1.36","7.39","3.27","4.04","0.0","-0.1","sa291553"
"Edwin Carl","Royals","0","0","3.86","0","1","0","1.0","1","0","0","1","0","1.32","7.32","3.32","4.04","0.0","0.1","sa556669"
"Kyler Newby","Angels","0","0","4.03","0","1","0","1.0","1","0","0","1","0","1.32","6.97","3.00","4.04","0.0","0.1","sa288761"
"David Bromberg","Braves","0","0","4.18","0","0","0","1.0","1","0","0","1","0","1.35","7.85","3.56","4.04","0.0","0.0","sa326256"
"Blake Cooper","Diamondbacks","0","0","3.97","0","1","0","1.0","1","0","0","1","0","1.36","8.01","3.89","4.04","0.0","0.1","sa549089"
"Wil Browning","Blue Jays","0","0","4.07","0","1","0","1.0","1","0","0","1","0","1.36","8.54","3.94","4.04","0.0","0.1","sa657837"
"Zach Putnam","White Sox","3","3","4.19","0","55","1","55.0","53","26","6","47","22","1.36","7.77","3.58","4.04","0.0","-0.1","9080"
"Victor Marte","Cardinals","0","0","3.94","0","1","0","1.0","1","0","0","1","0","1.37","7.51","3.87","4.04","0.0","0.1","5158"
"Adys Portillo","Padres","0","0","4.21","0","1","0","1.0","1","0","0","1","1","1.45","9.12","5.17","4.05","0.0","-0.1","sa503004"
"Orlando Castro","Pirates","0","0","4.12","0","0","0","1.0","1","0","0","1","0","1.31","5.90","2.42","4.05","0.0","0.0","sa546531"
"Yoanner Negrin","Cubs","0","0","4.08","0","1","0","1.0","1","0","0","1","0","1.35","7.70","3.57","4.05","0.0","0.1","sa608348"
"Ryan Pressly","Twins","1","1","4.22","0","25","0","25.0","26","12","2","19","9","1.39","6.91","3.23","4.05","0.0","-0.1","7005"
"Phil Klein","Rangers","2","2","4.09","0","40","0","40.0","35","18","4","41","20","1.38","9.23","4.49","4.05","0.2","0.0","12675"
"Eric Berger","Athletics","0","0","3.90","0","1","0","1.0","1","0","0","1","0","1.34","7.24","3.50","4.05","0.0","0.1","sa389697"
"Mike MacDougal","Dodgers","0","0","3.97","0","1","0","1.0","1","0","0","1","0","1.36","8.10","3.99","4.05","0.0","0.1","612"
"Roenis Elias","Mariners","4","4","4.00","11","11","0","64.0","61","29","7","54","24","1.31","7.56","3.31","4.05","0.5","0.5","12673"
"Dakota Watts","Twins","0","0","4.16","0","1","0","1.0","1","0","0","1","0","1.38","7.58","3.56","4.05","0.0","-0.1","sa501935"
"Jason Bergmann","Nationals","0","0","4.02","0","1","0","1.0","1","0","0","1","0","1.35","7.08","3.23","4.05","0.0","0.1","4640"
"Matt Brazis","Mariners","0","0","3.97","0","1","0","1.0","1","0","0","1","0","1.32","7.59","3.39","4.05","0.0","0.1","sa577669"
"Miguel Gonzalez","Phillies","4","5","4.10","8","38","0","76.0","69","35","8","73","33","1.35","8.68","3.93","4.05","0.4","0.0","15675"
"Joe Savery","Athletics","0","0","3.92","0","1","0","1.0","1","0","0","1","0","1.36","7.28","3.65","4.05","0.0","0.1","2835"
"Louis Coleman","Royals","1","1","3.75","0","25","0","25.0","23","10","3","22","10","1.30","7.98","3.54","4.05","0.0","0.1","9720"
"Mitch Harris","Cardinals","0","0","3.93","0","1","0","1.0","1","0","0","1","0","1.36","7.31","3.65","4.05","0.0","0.1","sa392158"
"Kevin Whelan","Tigers","0","0","4.04","0","1","0","1.0","1","0","0","1","0","1.38","8.55","4.24","4.05","0.0","0.1","3462"
"David Huff","Yankees","0","0","3.77","0","1","0","1.0","1","0","0","1","0","1.26","6.89","2.54","4.05","0.0","0.1","4257"
"Ryan Webb","Orioles","1","1","3.91","0","20","0","20.0","20","9","2","14","6","1.31","6.52","2.86","4.05","0.0","0.0","7474"
"Kyle Blair","Indians","0","0","4.11","0","1","0","1.0","1","0","0","1","0","1.36","8.15","3.80","4.05","0.0","0.1","sa390444"
"Doug Davis","Cubs","0","0","4.07","0","0","0","1.0","1","0","0","1","0","1.31","6.89","2.74","4.05","0.0","0.0","1244"
"Jordan Jankowski","Astros","0","0","4.17","0","0","0","1.0","1","0","0","1","0","1.30","7.53","2.79","4.06","0.0","0.0","sa658942"
"Frankie Reed","Marlins","0","0","4.01","0","1","0","1.0","1","0","0","1","0","1.38","6.96","3.67","4.06","0.0","0.1","sa599077"
"Pedro Feliciano","Mets","0","0","3.99","0","1","0","1.0","1","0","0","1","0","1.33","7.21","3.22","4.06","0.0","0.1","1601"
"Michael Mariot","Royals","0","0","3.85","0","10","0","10.0","9","4","1","8","4","1.31","7.33","3.28","4.06","0.0","0.0","10835"
"Brooks Raley","Cubs","0","0","3.98","0","1","0","1.0","1","0","0","1","0","1.32","7.16","3.06","4.06","0.0","0.1","10061"
"Ryan Sherriff","Cardinals","0","0","3.91","0","1","0","1.0","1","0","0","1","0","1.32","6.22","2.82","4.06","0.0","0.1","sa549863"
"Salvador Sanchez","White Sox","0","0","4.11","0","1","0","1.0","1","0","0","1","0","1.35","8.41","3.74","4.06","0.0","0.1","sa291439"
"Michael Brady","Angels","0","0","4.05","0","1","0","1.0","1","0","0","1","0","1.32","6.80","2.91","4.06","0.0","0.1","sa502167"
"Eric Cendejas","Angels","0","0","4.03","0","1","0","1.0","1","0","0","1","0","1.32","6.82","2.94","4.06","0.0","0.1","sa549941"
"Alexis Lara"," ","0","0","4.03","0","1","0","1.0","1","0","0","1","0","1.35","7.71","3.62","4.06","0.0","0.1","sa393401"
"Bryan Henry","Diamondbacks","0","0","3.99","0","1","0","1.0","1","0","0","1","0","1.30","7.05","2.88","4.06","0.0","0.1","sa389691"
"Andrew Kown","Giants","0","0","4.08","0","0","0","1.0","1","0","0","1","0","1.32","6.38","2.79","4.06","0.0","0.0","sa254314"
"Brad Bergesen","Diamondbacks","0","0","3.89","0","1","0","1.0","1","0","0","1","0","1.31","6.91","2.87","4.06","0.0","0.1","8375"
"Fernando Cabrera","Mets","0","0","4.07","0","1","0","1.0","1","0","0","1","0","1.36","7.66","3.65","4.06","0.0","0.1","2105"
"Josh Romanski","Yankees","0","0","3.83","0","1","0","1.0","1","0","0","1","0","1.31","7.97","3.57","4.06","0.0","0.1","sa454528"
"Ross Ohlendorf","Nationals","0","0","3.95","0","0","0","1.0","1","0","0","1","0","1.28","7.32","2.61","4.06","0.0","0.0","8268"
"Kyuji Fujikawa","Rangers","1","1","4.05","0","30","0","30.0","29","14","3","26","11","1.33","7.74","3.27","4.06","0.1","0.0","14443"
"Anthony Varvaro","Red Sox","2","2","4.11","0","45","1","45.0","45","21","5","35","16","1.36","6.93","3.18","4.06","0.0","0.1","2385"
"Danny Miranda","Cardinals","0","0","3.88","0","1","0","1.0","1","0","0","1","0","1.33","6.60","3.15","4.07","0.0","0.1","sa598114"
"Trevor Gott","Angels","0","0","4.06","0","1","0","1.0","1","0","0","1","0","1.38","7.76","3.93","4.07","0.0","0.1","sa621611"
"Rex Brothers","Rockies","3","3","4.20","0","65","3","65.0","60","30","7","65","33","1.43","8.95","4.59","4.07","0.2","0.1","9794"
"Scott Gorgen","Cardinals","0","0","4.02","0","0","0","1.0","1","0","0","1","0","1.33","7.09","3.21","4.07","0.0","0.0","sa454525"
"Jose Urena","Marlins","0","0","4.15","0","0","0","1.0","1","0","0","1","0","1.31","5.85","2.31","4.07","0.0","0.0","sa506871"
"Onelki Garcia","White Sox","0","1","4.06","0","10","0","10.0","9","5","1","10","5","1.39","9.17","4.58","4.07","0.0","0.0","13674"
"Chris Leroux","Yankees","0","0","3.89","0","1","0","1.0","1","0","0","1","0","1.29","7.46","3.05","4.07","0.0","0.1","7645"
"Ray Black","Giants","0","0","4.14","0","1","0","1.0","1","0","0","1","1","1.46","8.88","5.42","4.07","0.0","0.1","sa579473"
"Henry Owens","Red Sox","2","2","4.10","6","6","0","37.0","34","17","4","35","17","1.37","8.44","4.11","4.07","0.4","0.4","sa597755"
"Cody Wheeler","Diamondbacks","0","0","3.99","0","1","0","1.0","1","0","0","1","1","1.41","9.07","5.00","4.07","0.0","0.1","sa548334"
"Ty Blach","Giants","0","0","4.07","0","0","0","1.0","1","0","0","1","0","1.32","5.92","2.63","4.07","0.0","0.0","sa658009"
"Miguel Celestino","Red Sox","0","0","4.05","0","1","0","1.0","1","0","0","1","0","1.37","7.68","3.73","4.07","0.0","0.1","sa504074"
"Tom Layne","Red Sox","2","2","4.08","0","35","0","35.0","33","16","3","30","16","1.40","7.70","3.99","4.07","0.0","0.1","7501"
