name,pos,team,year,rk,mlb_id
Wilfredo Cordero,ss,Expos,1991,12,112680
Rondell White,of,Expos,1991,13,124185
Raul Mondesi,of,Dodgers,1991,14,119247
Willie Banks,rhp,Twins,1991,15,110536
Rich Garces,rhp,Twins,1991,16,114581
Tim Costo,1b,Indians,1991,17,112715
Tino Martinez,1b,Mariners,1991,18,118362
Mike Mussina,rhp,Orioles,1991,19,119608
Jeff Mcneely,of,Red Sox,1991,20,118853
Reid Cornelius,rhp,Expos,1991,21,112692
Eddie Zosky,ss,Blue Jays,1991,22,124784
Royce Clayton,ss,Giants,1991,23,112381
Kurt Miller,rhp,Pirates,1991,24,119092
Mark Whiten,of,Blue Jays,1991,25,124207
Anthony Young,rhp,Mets,1991,26,124685
Kirk Dressendorfer,rhp,Athletics,1991,27,113559
Tyler Houston,c,Braves,1991,28,116191
Henry Rodriguez,1b-of,Dodgers,1991,29,121357
Hensley Meulens,of,Yankees,1991,30,119004
Marc Newfield,1b-of,Mariners,1991,31,119737
Jeff Bagwell,3b,Astros,1991,32,110432
Pete Schourek,lhp,Mets,1991,33,121860
Darryl Kile,rhp,Astros,1991,34,117046
Rico Brogna,1b,Tigers,1991,35,111502
Rafael Valdez,rhp,Padres,1991,36,123604
Willie Greene,3b,Expos,1991,37,115104
Steve Karsay,rhp,Blue Jays,1991,38,116853
Gary Scott,3b,Cubs,1991,39,121931
Jamie Mcandrew,rhp,Dodgers,1991,40,118508
Lance Dickson,lhp,Cubs,1991,41,113345
Donovan Osborne,lhp,Cardinals,1991,42,120085
Kiki Jones,rhp,Dodgers,1991,43,442422
D.J. Dozier,of,Mets,1991,44,113536
Jeff Conine,1b,Royals,1991,45,112559
Tim Naehring,ss,Red Sox,1991,46,119634
Brook Fordyce,c,Mets,1991,47,114309
Jeff Juden,rhp,Astros,1991,48,116785
Chipper Jones,ss,Braves,1991,49,116706
Robbie Beckett,lhp,Padres,1991,50,110775
Ray Lankford,of,Cardinals,1991,51,117484
Steve Decker,c,Giants,1991,52,113189
Marcus Moore,rhp,Blue Jays,1991,53,119311
Don Peters,rhp,Athletics,1991,54,440376
Wes Chamberlain,of,Phillies,1991,55,112173
Charles Nagy,rhp,Indians,1991,56,119640
Brian Barnes,lhp,Expos,1991,57,110576
Johnny Ruffin,rhp,White Sox,1991,58,121546
Todd Hundley,c,Mets,1991,59,116316
Dean Palmer,3b,Rangers,1991,60,120194
Leo Gomez,3b,Orioles,1991,61,114911
Carlos Garcia,ss,Pirates,1991,62,114583
Chris Hammond,lhp,Reds,1991,63,115391
Greg Blosser,of,Red Sox,1991,64,111114
Kerry Woodson,rhp,Mariners,1991,65,124568
John Ericks,rhp,Cardinals,1991,66,113876
Kerwin Moore,of,Royals,1991,67,119309
Pat Kelly,2b,Yankees,1991,68,116940
Mike Timlin,rhp,Blue Jays,1991,69,123348
Dave Staton,1b,Padres,1991,70,122696
Dan Opperman,rhp,Dodgers,1991,71,454429
Chuck Knoblauch,2b,Twins,1991,72,117197
Tim Salmon,of,Angels,1991,73,121640
Tom Goodwin,of,Dodgers,1991,74,114961
Kenny Lofton,of,Astros,1991,75,117863
Narciso Elvira,lhp,Brewers,1991,76,113830
Johnny Ard,rhp,Giants,1991,77,448586
Reggie Jefferson,1b,Reds,1991,78,116515
Willie Smith,rhp,Yankees,1991,79,122471
Mike Milchin,lhp,Cardinals,1991,80,119048
Angel Miranda,lhp,Brewers,1991,81,119183
Ricky Gutierrez,ss,Orioles,1991,82,115263
Steve Hosey,of,Giants,1991,83,116166
Kyle Abbott,lhp,Angels,1991,84,110012
Greg Colbrunn,c,Expos,1991,85,112461
Robb Nen,rhp,Rangers,1991,86,119718
Earl Cunningham,of,Cubs,1991,87,442956
Carl Everett,of,Yankees,1991,88,113946
Kevin Rogers,lhp,Giants,1991,89,121380
Mike Zimmerman,rhp,Pirates,1991,90,527090
Wilson Alvarez,lhp,White Sox,1991,91,110209
William Suero,2b,Blue Jays,1991,92,122929
Jim Thome,3b,Indians,1991,93,123272
Eric Karros,1b,Dodgers,1991,94,116852
Dan Wilson,c,Reds,1991,95,124383
Willie Ansley,of,Astros,1991,96,459498
Dan Smith,lhp,Rangers,1991,97,122368
Julio Valera,rhp,Mets,1991,98,123620
Bret Boone,2b,Mariners,1991,99,111214
Dan Peltier,of,Rangers,1991,100,120363
Steve Avery,lhp,Braves,1990,1,110397
Ben Mcdonald,rhp,Orioles,1990,2,118648
John Olerud,1b/lh,Blue Jays,1990,3,119976
Juan Gonzalez,of,Rangers,1990,4,114932
Sandy Alomar Jr.,c,Indians,1990,5,110184
Kiki Jones,rhp,Dodgers,1990,6,442422
Todd Zeile,c,Cardinals,1990,7,124755
Eric Anthony,of,Astros,1990,8,110285
Greg Vaughn,of,Brewers,1990,9,123675
Jose Offerman,ss,Dodgers,1990,10,119948
Darryl Kile,rhp,Astros,1990,11,117046
Delino Deshields,2b,Expos,1990,12,113291
Willie Banks,rhp,Twins,1990,13,110536
Mike Harkey,rhp,Cubs,1990,14,115476
Robin Ventura,3b,White Sox,1990,15,123697
Roger Salkeld,rhp,Mariners,1990,16,121635
Marquis Grissom,of,Expos,1990,17,115174
Mike Stanton,lhp,Braves,1990,18,122679
Ray Lankford,of,Cardinals,1990,19,117484
Pat Combs,lhp,Phillies,1990,20,112535
Rafael Valdez,rhp,Padres,1990,21,123604
Ty Griffin,3b,Cubs,1990,22,469867
Narciso Elvira,lhp,Brewers,1990,23,113830
Mark Lewis,ss,Indians,1990,24,117740
Wes Chamberlain,of,Phillies,1990,25,112173
Wilson Alvarez,lhp,White Sox,1990,26,110209
Charles Nagy,rhp,Indians,1990,27,119640
Reggie Jefferson,1b,Reds,1990,28,116515
Frank Thomas,1b,White Sox,1990,29,123245
Tom Goodwin,of,Dodgers,1990,30,114961
Bob Hamelin,1b,Royals,1990,31,115376
John Ericks,rhp,Cardinals,1990,32,113876
Dean Palmer,3b,Rangers,1990,33,120194
Braulio Castillo,of,Dodgers,1990,34,112110
Mel Rojas,rhp,Expos,1990,35,121404
Brian Lane,3b,Reds,1990,36,451975
Moises Alou,of,Pirates,1990,37,110189
Willie Ansley,of,Astros,1990,38,459498
Travis Fryman,ss,Tigers,1990,39,114465
Tino Martinez,1b,Mariners,1990,40,118362
Mickey Morandini,2b,Phillies,1990,41,119347
Larry Walker,of,Expos,1990,42,123833
Donald Harris,of,Rangers,1990,43,115519
Earl Cunningham,of,Cubs,1990,44,442956
Brian Bohanon,lhp,Rangers,1990,45,111155
Johnny Ard,rhp,Twins,1990,46,448586
Kent Mercker,lhp,Braves,1990,47,118967
Willie Smith,rhp,Yankees,1990,48,122471
Glenallen Hill,of,Blue Jays,1990,49,115935
Dennis Burlingame,rhp,Braves,1990,50,471991
Alex Sanchez,rhp,Blue Jays,1990,51,121657
Steve Hosey,of,Giants,1990,52,116166
Deion Sanders,of,Yankees,1990,53,121668
Felix Jose,of,Athletics,1990,54,116768
Andujar Cedeno,ss,Astros,1990,55,112152
Julio Valera,rhp,Mets,1990,56,123620
Rico Brogna,1b,Tigers,1990,57,111502
Tom Redington,3b,Braves,1990,58,451982
Manny Alexander,ss,Orioles,1990,59,110129
Kyle Abbott,lhp,Angels,1990,60,110012
Kevin Morton,lhp,Red Sox,1990,61,119427
Wilfredo Cordero,ss,Expos,1990,62,112680
Eric Wedge,c,Red Sox,1990,63,124029
Joe Slusarski,rhp,Athletics,1990,64,122330
Todd Hundley,c,Mets,1990,65,116316
Willie Greene,ss,Pirates,1990,66,115104
Carlos Baerga,3b,Indians,1990,67,110427
Scott Cooper,3b,Red Sox,1990,68,112659
Howard Farmer,rhp,Expos,1990,69,114013
Rick Wilkins,c,Cubs,1990,70,124271
Darren Lewis,of,Athletics,1990,71,117731
Derrick May,of,Cubs,1990,72,118471
Keith Richardson,rhp,Pirates,1990,73,454299
Den Peltier,of,Rangers,1990,74,120363
Derek Bell,of,Blue Jays,1990,75,110818
Maurice Vaughn,1b,Red Sox,1990,76,123678
Bernie Williams,of,Yankees,1990,77,124288
Scott Radinsky,lhp,White Sox,1990,78,120877
Mickey Pina,of,Red Sox,1990,79,447178
Tommy Greene,rhp,Braves,1990,80,115099
Jim Newlin,rhp,Mariners,1990,81,436977
Kevin Belcher,of,Rangers,1990,82,110808
Phil Plantier,of,Red Sox,1990,83,120618
Eric Karros,1b,Dodgers,1990,84,116852
Eric Gunderson,lhp,Giants,1990,85,115249
Kevin Appier,rhp,Royals,1990,86,110293
Mike Milchin,lhp,Cardinals,1990,87,119048
Kevin Tapani,rhp,Twins,1990,88,123090
Tom Howard,of,Padres,1990,89,437833
Jeff Juden,rhp,Astros,1990,90,116785
Paul Sorrento,1b,Twins,1990,91,122541
Tyler Houston,c,Braves,1990,92,116191
David Segui,1b,Orioles,1990,93,121977
Scott Coolbaugh,3b,Rangers,1990,94,112635
Cullen Hartzog,rhp,Yankees,1990,95,458291
Russ Springer,rhp,Yankees,1990,96,122620
Brian Jordan,of,Cardinals,1990,97,116747
Scott Aldred,lhp,Tigers,1990,98,110118
Jose Vizcaino,2b,Dodgers,1990,99,123743
Reid Cornelius,rhp,Expos,1990,100,112692
